AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,screened_by,notes,include_article_review,exclude_reason,note,exclude_reason_original
"Veronica Saraiva Fialho, Vinicius Barros Rodrigues, Simon Luke Elliot",2018,Nesting strategies and disease risk in necrophagous beetles,ECOLOGY AND EVOLUTION,3296-3310,3296-3310,10.1002/ece3.3919,"While the effects of carcass decomposition on microorganisms have been   demonstrated in recent years, little is known of how this impacts   necrophagous insects. A common assumption is that insects that exploit   carcasses are exposed to a high density of potentially harmful   microorganisms, but no field data have so far validated this.   Necrophagous beetles such as the Scarabaeinae have complex nesting   behaviors with elaborate parental care. So here, we begin to explore   whether this conjunction of life history and nesting behavior represents   an adaptive response to the threat posed by microbes in these   environments, mainly by entomopathogens. We evaluated the density and   distribution of fungi and bacteria from soil near the carcasses, and   their ability to infect and kill insects that are in contact with this   soil during the decomposition process. Our data showed an increase in   the density and activity of opportunistic or facultative pathogens   during the apex of decomposition, when there is a predominance of   necrophagous insects. Meanwhile, the survivorship of bait insects   decreased when in contact with soil from this period of decomposition,   indicating a potential risk of infection. However, the density and   activity of these microorganisms decreased with distance from the   carcass, mainly with depth, which would benefit tunneller beetles in   particular. We have thus provided the first field data to show that   necrophagous insects are indeed exposed to high densities of potentially   harmful microorganisms. Furthermore, we propose that some parental care   strategies may have arisen not only as a response to competition, but   also as adaptations that reduce the risks of disease. Although we have   focused on carrion feeders, we suggest that the same occurs with   coprophagous beetles, as both carrion and dung are nutrient-rich   resources.",29,NO,IF,,,,,
"Jan Heuschele, Ulrika Candolin",2010,Reversed parasite-mediated selection in sticklebacks from eutrophied   habitats,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,1229-1237,1229-1237,10.1007/s00265-010-0937-9,"Sexual selection is often assumed to increase the viability of   populations by increasing the quality of offspring produced. Presently,   human-induced environmental changes are altering the process of sexual   selection by influencing male-male interactions and female mate choice.   Here, we show that increased density of filamentous algae due to   eutrophication reverses parasite-mediated selection during reproduction   in threespine sticklebacks (Gasterosteus aculeatus). When we manipulated   the density of artificial algae in a breeding area in the Baltic Sea,   more males nested in dense than in sparse vegetation, but the males in   dense vegetation were more parasitized. Interestingly, heavily   parasitized males acquired more eggs than less parasitized males in   dense vegetation but not in sparse vegetation. The higher probability of   reproduction for parasitized males in dense algae growth could be due to   impaired visibility relaxing male-male competition or reducing female   choosiness. This could favour males in poor condition that often invest   more in attracting females than males in good condition. In sparse   vegetation, parasitized males may have a lower reproductive success due   to intense male-male competition, careful female choice and high   predation rate selecting against parasitized males. The results suggest   that eutrophication could alter the fraction of the population that   reproduces, which could have long-term evolutionary consequences.",30,NO,IF,,,,,
"Bryony Sands, Neludo Mgidiswa, Casper Nyamukondiwa, Richard Wall",2018,Environmental consequences of deltamethrin residues in cattle feces in   an African agricultural landscape,ECOLOGY AND EVOLUTION,2938-2946,2938-2946,10.1002/ece3.3896,"Pyrethroid insecticides are widely used to control ectoparasites of   livestock, particularly ticks and biting flies. Their use in African   livestock systems is increasing, driven by the need to increase   productivity and local food security. However, insecticide residues   present in the dung after treatment are toxic to dung-inhabiting   insects. In a semiarid agricultural habitat in Botswana, dung beetle   adult mortality, brood ball production, and larval survival were   compared between untreated cattle dung and cattle dung spiked with   deltamethrin, to give concentrations of 0.01, 0.1, 0.5, or 1ppm. Cattle   dung-baited pitfall traps were used to measure repellent effects of   deltamethrin in dung on Scarabaeidae. Dung decomposition rate was also   examined. There was significantly increased mortality of adult dung   beetles colonizing pats that contained deltamethrin compared to   insecticide-free pats. Brood ball production was significantly reduced   at concentrations of 1ppm; larval survival was significantly reduced in   dung containing 0.1ppm deltamethrin and above. There was no difference   in the number of Scarabaeidae attracted to dung containing any of the   deltamethrin concentrations. Dung decomposition was significantly   reduced even at the lowest concentration (0.01ppm) compared to   insecticide-free dung. The widespread use of deltamethrin in African   agricultural ecosystems is a significant cause for concern; sustained   use is likely to damage dung beetle populations and their provision of   environmentally and economically important ecosystem services.   Contaminated dung buried by paracoprid (tunneling) beetles may retain   insecticidal effects, with impacts on developing larvae below ground.   Lethal and sublethal effects on entire dung beetle (Scarabaeidae)   communities could impair ecosystem function in agricultural landscapes.",31,NO,IF,,,,,
"J. David Aguirre, Dustin J. Marshall",2012,Genetic diversity increases population productivity in a sessile marine   invertebrate,ECOLOGY,1134-1142,1134-1142,10.1890/11-1448.1,"Reductions in genetic diversity can have widespread ecological   consequences: populations with higher genetic diversity are more stable,   productive and resistant to disturbance or disease than populations with   lower genetic diversity. These ecological effects of genetic diversity   differ from the more familiar evolutionary consequences of depleting   genetic diversity, because ecological effects manifest within a single   generation. If common, genetic diversity effects have the potential to   change the way we view and manage populations, but our understanding of   these effects is far from complete, and the role of genetic diversity in   sexually reproducing animals remains unclear. Here, we examined the   effects of genetic diversity in a sexually reproducing marine   invertebrate in the field. We manipulated the genetic diversity of   experimental populations and then measured individual survival, growth,   and fecundity, as well as the size of offspring produced by individuals   in high and low genetic diversity populations. Overall, we found greater   genetic diversity increased performance across all metrics, and that   complementarity effects drove the increased productivity of our   high-diversity populations. Our results show that differences in genetic   diversity among populations can have pervasive effects on population   productivity within remarkably short periods of time.",32,NO,IF,,,,,
"Michelle A. Maier, Tawnya D. Peterson",2014,Observations of a Diatom Chytrid Parasite in the Lower Columbia River,NORTHWEST SCIENCE,234-245,234-245,10.3955/046.088.0306,"Often overlooked, zoosporic fungal parasites of phytoplankton   ('chytrids') are present in aquatic systems worldwide. Although   extensive studies in lakes give insight into potential impacts of   chytrid epidemics on phytoplankton blooms and organic matter cycling,   the ecological significance of chytrid infections of phytoplankton is   still poorly understood in lotic systems. Here, we report the first   observations of chytrid parasites attached to multiple diatom species in   the lower Columbia River. We isolated a chytrid parasite of the dominant   spring bloom diatom, Asterionella formosa, and sequenced DNA from   several regions within the ribosomal RNA gene. We also investigated the   specificity of the A. formosa chytrid to host and non-host diatoms with   isolated cultures and found no cross infection at the species level. In   the Columbia River, alterations in the hydrograph following the   installation of hydroelectric dams may have opened a niche for chytrid   parasites. Greater retention times may allow diatoms to bloom and   provide a prolonged interaction period whereby chytrid parasites are   able to infect hosts. Future research is needed to assess the   seasonality and severity of chytrid infections on diatoms in the lower   Columbia River and to evaluate the potential role of zoosporic fungi in   influencing the food web structure and biogeochemical cycling in river   systems.",33,NO,IF,,,,,
"J. Bakr, H. G. Daood, Z. Pek, L. Helyes, K. Posta",2017,YIELD AND QUALITY OF MYCORRHIZED PROCESSING TOMATO UNDER WATER SCARCITY,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,401-413,401-413,10.15666/aeer/1501\_401413,"An open field trial was established to evaluate production, carotenoids,   ascorbic acid, and soluble solids of processing tomato inoculated with   arbuscular mycorrhizal fungi either at sowing, and re-inoculated at   transplanting compared to non-treated plants under different soil   moisture conditions. Depending on plant water requirement, all   treatments induced to three levels of water supply: Full water supply,   half water supply, dosage, plants under no water supply conditions faced   severe stress and showed no enhancement in growth, yield, and water use   efficiency. Mycorrhizal re-inoculation significantly increased the   marketable fruit yield, the total biomass, the water use efficiency, and   leaf water potential under water shortage conditions in half water   supply compared to at sowing inoculated mycorrhizal plants, and   non-treated plants as well, suggesting that field mycorrhizal   re-inoculation enhances colonized plant water stress avoidance. A strong   negative correlation was observed between yield and soluble solid   content. Concisely, mycorrhizal re-inoculation was more effective than   inoculation at sowing.",34,NO,IF,,,,,
"P. Guadarrama, S. Castillo, J. A. Ramos-Zapata, L. V. Hernandez-Cuevas, S. L. Camargo-Ricalde",2014,Arbuscular mycorrhizal fungal communities in changing environments: The   effects of seasonality and anthropogenic disturbance in a seasonal dry   forest,PEDOBIOLOGIA,87-95,87-95,10.1016/j.pedobi.2014.01.002,"The landscape of Mexican seasonal dry forests is affected by various   periodic (long and drastic drought) and random (elimination of the   forest coverage for agricultural purposes) disturbance events. The   community of arbuscular mycorrhizal fungi (AMF) responds to these   changes, sporulating and reducing its activity during the dry season,   and slowly reestablishing itself following abandonment of cultivated   fields. To determine the dynamics of the AMP community in response to   natural phenomena and anthropogenic disturbances, we collected soil   samples during the wet and dry seasons from plots with different time   periods since abandonment of agricultural activity, categorized as early   (less than 5 years), middle (11-23 years), and late (over 30 years) age   plots. From each plot, AMF spores were isolated and identified in order   to estimate abundance, richness and diversity. In addition, the number   of infective propagules and value of mycorrhizal inoculum potential were   calculated for each plot. Twenty-three species were recorded, for which   Glomeraceae and Acaulosporaceae were the most commonly represented   families. Significant differences were found in AMP species richness   among plots and seasons and the diversity index of AMP was higher than   1.0 in most cases. There were no significant differences in spore   abundance. Viable propagules were observed in all soil samples, with   fluctuations relating mainly to time since abandonment. Overall,   seasonality has a strong influence on AMF diversity but not on AMP   infectivity, while time since abandonment had a more important impact.   (C) 2014 Elsevier GmbH. All rights reserved.",35,NO,IF,mycorrhizal,,,,
"Y. Carreon-Abud, M. Vega-Fraga, M. E. Gavito",2015,Interaction of arbuscular mycorrhizal inoculants and chicken manure in   avocado rootstock production,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,867-881,867-881,NA,"The nursery stage of avocado plant production provides the best   opportunity for introducing mycorrhizal inoculants. Three single-species   inocula (Acaulospora laevis, Cetraspora pellucida and Pacispora   scintillans), an inoculum using a consortium of these three species, an   inoculum from a native orchard mycorrhizal community and an uninoculated   field soil control were compared experimentally using a factorial   experimental design in combination with 8, 17, or 25 g of chicken manure   per kg soil. The height, stem diameter, number of leaves, pathogen   damage level, and herbivory in ``criollo'' avocado rootstocks were   recorded every two weeks. The leaf area, biomass and mycorrhizal   colonization of the roots were measured 7 months after sowing. Overall,   responses to mycorrhizal inoculation were minor and increasing   fertilization negatively affected most variables. The best inocula were   the Cetraspora pellucida and native orchard mycorrhizal community   inocula. The negative effects of high chicken manure fertilization on   plant growth and health have important implications for nursery   management because chicken manure is a preferred fertilizer.",36,NO,IF,mycorrhizal,,,,
"Virginia G. W. Schutte, Elizabeth R. Selig, John F. Bruno",2010,Regional spatio-temporal trends in Caribbean coral reef benthic   communities,MARINE ECOLOGY PROGRESS SERIES,115-122,115-122,10.3354/meps08438,"Coral cover has declined on reefs worldwide with particularly acute   losses in the Caribbean. Despite our awareness of the broad-scale   patterns and timing of Caribbean coral loss, there is little published   information on: (1) finer-scale, subregional patterns over the last 35   yr, (2) regional-scale trends since 2001, and (3) macroalgal cover   changes. We analyzed the spatio-temporal trends of benthic coral reef   communities in the Caribbean using quantitative data from 3777 coral   cover surveys of 1962 reefs from 1971 to 2006 and 2247 macroalgal cover   surveys of 875 reefs from 1977 to 2006. A subset of 376 reefs was   surveyed more than once (monitored). The largest 1 yr decline in coral   cover occurred from 1980 to 1981, corresponding with the beginning of   the Caribbean-wide Acropora spp. white band disease outbreak. Our   results suggest that, regionally, coral cover has been relatively stable   since this event (i.e. from 1982 to 2006). The largest increase in   macroalgal cover was in 1986, 3 yr after the regional die-off of the   urchin grazer Diadema antillarum began. Subsequently, macroalgal cover   declined in 1987 and has been stable since then. Regional mean (+/-1 SE)   macroalgal cover from 2001 to 2005 was 15.3 +/- 0.4\% (n = 1821   surveys). Caribbean-wide mean (+/-1 SE) coral cover was 16.0 +/- 0.4\%   (n = 1547) for this same time period. Both macroalgal and coral cover   varied significantly among subregions from 2001 to 2005, with the lowest   coral cover in the Florida Keys and the highest coral cover in the Gulf   of Mexico. Spatio-temporal patterns from the subset of monitored reefs   are concordant with the conclusions drawn from the entire database. Our   results suggest that coral and macroalgal cover on Caribbean reef   benthic communities has changed relatively little since the mid-1980s.",37,NO,IF,,,,,
"Craig Stephen, Emiliano DiCicco, Brandon Munk",2008,British Columbia's Fish Health Regulatory Framework's Contribution to   Sustainability Goals Related to Salmon Aquaculture,ECOHEALTH,472-481,472-481,10.1007/s10393-008-0199-4,"Salmon farming is a significant contribution to the global seafood   market to which the goal of sustainability is often applied. Diseases   related to farms are perhaps the most contentious issues associated with   sustainable salmon farming. We reviewed literature and policies in   British Columbia, Canada, as well as interviewed key informants to   examine how fish health regulations do or could support sustainability   goals. We found four main obstacles to the development and application   of a sustainability-based health management system. First, salmon   farming faced the same challenges as other industries when trying to   establish an operational definition of sustainability that captures all   stakeholders' interests. Second, there was no program responsible for   integrating the various regulations, responsible departments, and   monitoring efforts to develop a comprehensive view of sustainability.   Third, there was inadequate research base and social consensus on the   criteria that should be used to track health outcomes for sustainability   purposes. Fourth, the regulatory and management paradigm for salmon   farming has been focused on diseases and pathogens as opposed to   embracing a more inclusive health promotion model that includes biotic,   abiotic, and social determinants of health. A transparent and inclusive   participatory process that effectively links expert views with community   and industry concerns should serve as the foundation for the next   generation of health management regulations for salmon farming.",38,NO,IF,,,,,
Arnold J. H. van Vliet,2010,Societal Adaptation Options to Changes in Phenology,NA,75-98,75-98,10.1007/978-90-481-3335-2\_4,"In this chapter I provided a qualitative overview of how phenological   changes will strongly influence human well-being through changes in   primary production sectors depending on natural productivity, including   agriculture, forestry and fisheries, and the public health sector.   Farmers, commercial enterprises, patients, doctors and policy makers   have to adapt pro-actively to cope with, prevent or reduce potential   negative impacts. Adaptation should be relatively easy in most cases   because people have to `only' change the timing of their activities.   However, pro-active adaptation is currently often unfeasible because   stakeholders do not know what phenological changes will happen where and   when. They also are not aware of the ecological and socio-economic   consequences of such phenological changes. They seem to miss a sense of   urgency to act. Furthermore, they miss an understanding on whether, how   and when to respond in order to prevent (further) negative impacts or to   benefit from the emerging changes.   To adequately respond to phenological change and to improve the   adaptation potential, there is a need to (1) continue and improve   monitoring of phenological changes; (2) advance the analysis of   phenological changes and its socio-economic and environmental impact;   (3) improve the projections of phenological changes and their impacts;   and (4) improve the communication on observations, knowledge, tools and   techniques. Phenological networks should take the lead in all these four   activities. They should, however, closely work together with major   stakeholders.",39,NO,IF,,,,,
"Nina Schlotz, Dieter Ebert, Dominik Martin-Creuzburg",2013,Dietary supply with polyunsaturated fatty acids and resulting maternal   effects influence host - parasite interactions,BMC ECOLOGY,NA,NA,10.1186/1472-6785-13-41,"Background: Interactions between hosts and parasites can be   substantially modulated by host nutrition. Polyunsaturated fatty acids   (PUFAs) are essential dietary nutrients; they are indispensable as   structural components of cell membranes and as precursors for   eicosanoids, signalling molecules which act on reproduction and   immunity. Here, we explored the potential of dietary PUFAs to affect the   course of parasitic infections using a well-established invertebrate   host - parasite system, the freshwater herbivore Daphnia magna and its   bacterial parasite Pasteuria ramosa.   Results: Using natural food sources differing in their PUFA composition   and by experimentally modifying the availability of dietary arachidonic   acid (ARA) and eicosapentaenoic acid (EPA) we examined PUFA-mediated   effects resulting from direct consumption as well as maternal effects on   offspring of treated mothers. We found that both host and parasite were   affected by food quality. Feeding on C20 PUFA-containing food sources   resulted in higher offspring production of hosts and these effects were   conveyed to a great extent to the next generation. While feeding on a   diet containing high PUFA concentrations significantly reduced the   likelihood of becoming infected, the infection success in the next   generation increased whenever the maternal diet contained PUFAs. We   suggest that this opposing effect was caused by a trade-off between   reproduction and immunity in the second generation.   Conclusions: Considering the direct and maternal effects of dietary   PUFAs on host and parasite we propose that host - parasite interactions   and thus disease dynamics under natural conditions are subject to the   availability of dietary PUFAs.",40,NO,IF,,,,,
"Sara L. Wyngaarden, Amelie C. M. Gaudin, William Deen, Ralph C. Martin",2015,Expanding Red Clover (Trifolium pratense) Usage in the Corn-Soy-Wheat   Rotation,SUSTAINABILITY,15487-15509,15487-15509,10.3390/su71115487,"A common agronomic recommendation is under-seeding red clover to wheat   in the corn-soy-wheat rotation. As a leguminous cover crop, red clover   boosts agro-ecological resilience and productivity through nitrogen   fixation, as well as non-nitrogen-related contributions, such as soil   temperature and moisture regulation; reduction of erosion, runoff, and   leaching; weed suppression; and interruption of pest and disease cycles.   The objective of this paper is to propose a system that extends red   clover usage into the corn phase of the corn-soy-wheat rotation as a   living mulch. The system incorporates strip-tillage, strip-mowing, as   well as banded herbicide and fertilizer application in order to maximize   productivity and minimize competition. We analyzed the feasibility of   this proposal by examining red clover's adequacy for the proposed system   in comparison with other broadleaf, leguminous cover crops, and assessed   potential agro-ecological benefits. We considered logistical components   of the proposition, including the use of strip-tillage, the application   of precision technology, as well as the opportunity for further   technological developments. We found that the proposed system has   potential to increase agro-ecological sustainability, resilience, and   the overall productivity of this three-year rotation. Thus, this   easily-implemented practice should be formally studied.",41,NO,IF,,,,,
"Tabea Stier, Jan Drent, David W. Thieltges",2015,Trematode infections reduce clearance rates and condition in blue   mussels Mytilus edulis,MARINE ECOLOGY PROGRESS SERIES,137-144,137-144,10.3354/meps11250,"Suspension feeders are important players in coastal food webs: by   filtering particles suspended in the water column and depositing faeces   and pseudofaeces in sediments, they mediate the coupling of pelagic   primary and benthic secondary production. However, the potential   interference of parasite infections on suspension feeding is not well   investigated. We experimentally determined the effect of infections with   metacercariae of the common trematode Renicola roscovita on clearance   rates and condition of blue mussels Mytilus edulis. We also investigated   whether there were differences in the effects of infections between   different size classes of mussels. Using controlled infections under lab   conditions, our experiment showed that infections significantly reduced   the clearance rates of mussels. This effect was less pronounced in small   (42\% reduction) than in large mussels (71\%). In addition, infections   significantly reduced mussel body mass index in large (23\% reduction)   and small (17\%) mussels compared to uninfected mussels. These   reductions most likely resulted from a combined effect of an   interference of the parasites with the mussel's feeding apparatus (with   the palps being the preferred infection site of the parasite) and of the   energetic demands of the parasites (with metacercariae growing in size   after initial infection). These negative effects on mussel filter   feeding capacity indicate that parasites can alter a crucially important   functional trait of marine suspension feeders.",42,MAYBE,IF,"mussel clearance rate, BMI",YES,,,
"Tad Dallas, John M. Drake",2014,Nitrate enrichment alters a Daphnia-microparasite interaction through   multiple pathways,ECOLOGY AND EVOLUTION,243-250,243-250,10.1002/ece3.925,"Nutrient pollution has the potential to alter many ecological   interactions, including host-parasite relationships. One of the largest   sources of nutrient pollution comes from anthropogenic alteration of the   nitrogen (N) cycle, specifically the increased rate of nitrate (NO3 -N)   deposition to aquatic environments, potentially altering host-parasite   relationships. This study aimed to assess the mechanisms through which   nitrate may impact host-pathogen relationships using a fungal pathogen   (Metschnikowia bicuspidata) parasitic to crustacean zooplankton (Daphnia   dentifera) as a tractable model system. First, the influence of nitrate   on host population dynamics was assessed along a gradient of nitrate   concentrations. Nitrate decreased host population size and increased   infection prevalence. Second, the influence of nitrate on host   reproduction, mortality, and infection intensity was assessed at the   individual host level by examining the relationship between pathogen   dose and infection prevalence at ambient (0.4mgNO(3) -N*L-1) and   intermediate (12mgNO(3) -N*L-1) levels of nitrate. Host fecundity and   infection intensity both decreased with increasing pathogen dose, but   increased nitrate levels corresponded to greater infection intensities.   Nitrate had no effect on host growth rate, suggesting that hosts do not   alter feeding behavior in nitrate-treated media compared with ambient   conditions. This study suggests that nutrient enrichment may enhance   disease through increased transmission and infection intensity, but that   high levels of nitrate may result in smaller epidemics through reduced   transmission caused by smaller population sizes and increased pathogen   mortality.",43,NO,IF,host fedundity,,,,
"S. M. Pawson, A. Brin, E. G. Brockerhoff, D. Lamb, T. W. Payn, A. Paquette, J. A. Parrotta",2013,"Plantation forests, climate change and biodiversity",BIODIVERSITY AND CONSERVATION,1203-1227,1203-1227,10.1007/s10531-013-0458-8,"Nearly 4 \% of the world's forests are plantations, established to   provide a variety of ecosystem services, principally timber and other   wood products. In addition to such services, plantation forests provide   direct and indirect benefits to biodiversity via the provision of forest   habitat for a wide range of species, and by reducing negative impacts on   natural forests by offsetting the need to extract resources. There is   compelling evidence that climate change is directly affecting   biodiversity in forests throughout the world. These impacts occur as a   result of changes in temperature, rainfall, storm frequency and   magnitude, fire frequency, and the frequency and magnitude of pest and   disease outbreaks. However, in plantation forests it is not only the   direct effects of climate change that will impact on biodiversity.   Climate change will have strong indirect effects on biodiversity in   plantation forests via changes in forest management actions that have   been proposed to mitigate the effects of climate change on the   productive capacity of plantations. These include changes in species   selection (including use of species mixtures), rotation length,   thinning, pruning, extraction of bioenergy feedstocks, and large scale   climate change driven afforestation, reforestation, and, potentially   deforestation. By bringing together the potential direct and indirect   impacts of climate change we conclude that in the short to medium term   changes in plantation management designed to mitigate or adapt to   climate change could have a significantly greater impact on biodiversity   in such plantation forests than the direct effects of climate change.   Although this hypothesis remains to be formally tested, forest managers   worldwide are already considering new approaches to plantation forestry   in an effort to create forests that are more resilient to the effects of   changing climatic conditions. Such change presents significant risks to   existing biodiversity values in plantation forests, however it also   provides new opportunities to improve biodiversity values within   existing and new plantation forests. We conclude by suggesting future   options, such as functional zoning and species mixtures applied at   either the stand level or as fine-scale mosaics of single-species stands   as options to improve biodiversity whilst increasing resilience to   climate change.",44,NO,IF,,,,,
"Jacob G. Mills, Philip Weinstein, Nicholas J. C. Gellie, Laura S. Weyrich, Andrew J. Lowe, Martin F. Breed",2017,Urban habitat restoration provides a human health benefit through   microbiome rewilding: the Microbiome Rewilding Hypothesis,RESTORATION ECOLOGY,866-872,866-872,10.1111/rec.12610,"Restoration aims to return ecosystem services, including the human   health benefits of exposure to green space. The loss of such exposure   with urbanization and industrialization has arguably contributed to an   increase in human immune dysregulation. The Biodiversity and Old Friends   hypotheses have described the possible mechanisms of this relationship,   and suggest that reduced exposure to diverse, beneficial microorganisms   can result in negative health consequences. However, it is unclear   whether restoration of biodiverse habitat can reverse this effect, and   what role the environmental microbiome might have in such recovery.   Here, we propose the Microbiome Rewilding Hypothesis, which specifically   outlines that restoring biodiverse habitats in urban green spaces can   rewild the environmental microbiome to a state that enhances primary   prevention of human disease. We support our hypothesis with examples   from allied fields, including a case study of active restoration that   reversed the degradation of the soil bacterial microbiome of a former   pasture. This case study used high-throughput amplicon sequencing of   environmental DNA to assess the quality of a restoration intervention in   restoring the soil bacterial microbiome. The method is rapid, scalable,   and standardizable, and has great potential as a monitoring tool to   assess functional outcomes of green-space restoration. Evidence for the   Microbiome Rewilding Hypothesis will help motivate health professionals,   urban planners, and restoration practitioners to collaborate and achieve   co-benefits. Co-benefits include improved human health outcomes and   investment opportunities for biodiversity conservation and restoration.",45,NO,IF,,,,,
"Abhyudai Singh, William W. Murdoch, Roger M. Nisbet",2009,"Skewed attacks, stability, and host suppression",ECOLOGY,1679-1686,1679-1686,10.1890/07-2072.1,"It is well known that the model equilibrium in the Nicholson-Bailey   framework for parasitoid-host interactions can be stabilized if there is   variation in the risk of parasitism among individual hosts. We show that   the shape of the distribution of risk among hosts is crucial in   determining stability. Stability for all values of the reproduction rate   R of the host requires the distribution to be skewed, with a modal risk   of zero. As a consequence, a distribution of risk with nonzero mode but   otherwise sufficiently high variability will not stabilize the   host-parasitoid equilibrium for certain values of R.   We also develop a new, simple, and general criterion for stability,   according to which the host-parasitoid equilibrium is stable if and only   if the adult host equilibrium density increases as host reproductive   rate R increases. This reinforces previous results that skewed risk of   the type needed for stability reduces parasitoid efficiency and hence   the parasitoid's ability to suppress the host. Finally, we identify   appropriate measures that can be made in the field to relate skew in   risk of parasitism to stability.",46,NO,IF,,,,,
"Benjamin Feit, Tim Dempster, Heloise Gibb, Mike Letnic",2015,Invasive Cane Toads' Predatory Impact on Dung Beetles is Mediated by   Reservoir Type at Artificial Water Points,ECOSYSTEMS,826-838,826-838,10.1007/s10021-015-9865-x,"Disruption to ecosystem functioning associated with biological invasions   can have dramatic effects on the production and biodiversity values of   ecosystems. In semi-arid rangelands of Australia, invasive cane toads   (Rhinella marina) prey on dung beetles that were themselves introduced   to promote nutrient cycling and reduce parasite burdens of livestock.   Cane toads' colonization of rangelands has been facilitated by   artificial water points (AWP) which provide cattle with drinking water.   Most AWP in northern Australia comprise bores that pump water into   earthen reservoirs (dams). Dams typically support large toad populations   because they allow toads' access to water without which they could not   survive. Here, we ask if restricting toads' access to water at AWP can   reduce toad populations, toads' predatory impact on dung beetles, and   the rate of dung decomposition by dung beetles. We contrasted toad and   dung beetle populations, toad diets, and dung removal rates at AWP   fitted with dams or tanks as reservoirs. In comparison to dams, tanks   provide toads with little access to water. Population densities of toads   were five times higher at dams than tanks. Conversely, population   densities of dung beetles were 12 times lower at dams than tanks. Mass   loss of experimental dung pats after 2 days was 13\% greater at tanks   than dams. Our study provides evidence that consumption of detritivores   by an introduced predator can retard dung decomposition in a rangeland   ecosystem. Restricting toads' access to water at AWP should benefit   livestock production by reducing both toad populations and toads'   predatory impact on dung beetles.",47,NO,IF,,,,,
"Maria Dynowska, Katarzyna Wojczulanis-Jakubas, Justyna A. Pacynska, Dariusz Jakubas, Elzbieta Ejdys",2013,Potentially pathogenic yeast isolated from the throat and cloaca of an   Arctic colonial seabird: the little auk (Alle alle),POLAR BIOLOGY,343-348,343-348,10.1007/s00300-012-1263-7,"Yeasts are a distinctive group of microfungi, but compared to other   microorganisms, their ecological function and biodiversity are poorly   known. This is especially so where polar ecosystems are concerned. With   climate changes and increasing pollution levels in the Arctic, it can be   anticipated that there will be an increase in the prevalence and   diversity of fungi colonizing live organisms. With these changes, it is   crucial to investigate and monitor species diversity and prevalence of   fungi in this fragile environment. In this study, yeasts were examined   from throat and cloaca of a small colonial seabird, the little auk (Alle   alle), a keystone species in the Arctic ecosystem. Samples were   collected from 94 adults and 17 nestlings in breeding colony in   Magdalenefjorden (NW Spitsbergen) in 2009. In total, twelve species of   yeast from eight genera were found in 12 \% of the samples, with the   Dipodascus genus being the most prevalent. All yeast species were found   in the adults, but only one species, Cryptococcus macerans, was found in   a single nestling. In individuals where fungus was isolated, it was only   isolated from either the throat or the cloaca, except for two cases,   where fungus was found in both throat and cloaca. The presence of yeast   was not related to sex but age of the birds, with adults being more   prone to colonization by yeasts than the nestlings. The relatively low   prevalence and diversity of yeast in little auks suggest that these   birds are random carriers of fungi, with minor health impacts.",48,NO,IF,,,,,
"Laurent Heritier, Aitor Valdeon, Amel Sadaoui, Thomas Gendre, Sebastien Ficheux, Salah Bouamer, Nadia Kechemir-Issad, Louis Du Preez, Carmen Palacios, Olivier Verneau",2017,Introduction and invasion of the red-eared slider and its parasites in   freshwater ecosystems of Southern Europe: risk assessment for the   European pond turtle in wild environments,BIODIVERSITY AND CONSERVATION,1817-1843,1817-1843,10.1007/s10531-017-1331-y,"The North American red-eared slider Trachemys scripta elegans, which is   nowadays considered among the world's worst invasive species, could   constitute a real threat to native freshwater turtles. Because this   species shares the same habitats of the European pond turtle Emys   orbicularis since its introduction in the European wetlands, we surveyed   populations of both alien and indigenous species in France and Spain in   order to determine the diversity of platyhelminth parasites (Monogenea,   Polystomatidae) in natural environments and to evaluate the levels of   risks associated with parasitism. DNA barcoding procedure based on   partial cytochrome c oxydase I sequences revealed ten monogenean   parasite species within E. orbicularis populations and/or captive   animals among which at least eight could be considered as introduced   parasites from American freshwater turtles. Results indicated that host   switching could have occurred either in natural environments or in   captivity, when indigenous turtles were kept with exotic species,   demonstrating that captive turtles could act as reservoirs of parasites.   The presence of non-native parasite species within wild populations of   E. orbicularis in the European freshwater ecosystems also highlighted   the risks that these parasites may pose on the survival of natural   turtle's populations and on the dynamics of native parasites.",49,NO,IF,,,,,
