AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,screened_by,include_article_review,exclude_reason,note
"Bisseleua D. Herve B., Stefan Vidal",2008,Plant biodiversity and vegetation structure in traditional cocoa forest   gardens in southern Cameroon under different management,BIODIVERSITY AND CONSERVATION,1821-1835,1821-1835,10.1007/s10531-007-9276-1,"Floristic surveys were performed in 17 traditional cocoa forest gardens   under different management regimes in the humid forest area of southern   Cameroon, to assess the impact of intensification on plant biodiversity.   This impact was evaluated by analyzing species richness, vegetation   structure, carbon sequestration and above ground biomass. We hypothesize   that: (a) plant (tree and herbs) species richness is negatively   correlated to management intensity and (b) vegetational density   predictably change with management intensity. Our results show that   management as practiced in traditional cocoa forest gardens in southern   Cameroon following a gradient of intensification from extensive cocoa   forest gardens with high floristic diversity to intensive ones strongly   impacts plant diversity, plant biomass and to some extend carbon storage   with possible negative consequences on biodiversity. Great differences   in species richness, species composition, and, for trees, diameter at   breast height and basal area were evident among the five types of   traditional cocoa forest garden systems investigated. In terms of plant   species richness, we found a decreasing gradient of plant species   numbers from extensive forest gardens to intensive ones. This study also   highlights the importance of the Management Index for quantifying   differences in the management; this index could be used to standardize   certification procedures and assess conservation progress and success.   Our findings support the idea that traditional cocoa forest gardens can   help to protect many forest species, sustains smallholder production and   offer more scope for conservation of biodiversity, at both species-level   and landscape-level. Moreover, diverse traditional cocoa forest gardens   may help in regulating pests and diseases and allow for efficient   adaptation to changing socioeconomic conditions.",1494,NO,SL,,,
"Susan Harrell Yee, Deborah L. Santavy, John W. Kern, Sarah Hession",2011,Consideration of species community composition in statistical analyses   of coral disease risk,MARINE ECOLOGY PROGRESS SERIES,83-96,83-96,10.3354/meps09135,"Diseases are increasing in marine ecosystems, and these increases have   been attributed to a number of environmental factors including climate   change, pollution, and overfishing. However, many studies pool disease   prevalence into taxonomic groups, disregarding host-species composition   when comparing sites or assessing environmental impacts on patterns of   disease presence. We used simulated data under a known environmental   effect to assess the ability of standard statistical methods (binomial   and linear regression, ANOVA) to detect a significant environmental   effect on pooled disease prevalence with varying species abundance   distributions and relative susceptibilities to disease. When one species   was more susceptible to a disease and both species only partially   overlapped in their distributions, models tended to produce a greater   number of false positives (Type I error). Differences in disease risk   between regions or along an environmental gradient tended to be   underestimated, or, even in the wrong direction, when highly susceptible   taxa had reduced abundances in impacted sites, a situation likely to be   common in nature. Including relative abundance as an additional variable   in regressions improved model accuracy, but tended to be conservative,   producing more false negatives (Type II error) when species abundance   was strongly correlated with the environmental effect. An analysis of   field data on bleaching from the Florida Keys, FL, USA, affirmed general   results of model simulations. Investigators should be cautious of   underlying assumptions about species similarity in susceptibility and   species composition when interpreting pooled data on disease risk.",1495,NO,SL,,,
"Claude A. Garcia, Laurene Feintrenie",2014,Beyond the Mirror: Tropical Forest Fragmentation and its Impact on Rural   Livelihoods,NA,115-131,115-131,NA,"Forest fragmentation is overwhelmingly the result of changes in land use   and the development of infrastructures. It can be considered as the   spatial manifestation of deforestation and degradation in a landscape.   Forest fragmentation thus results in the same loss of ecosystem services   as these other forms of land-cover change, but how does it affect   livelihoods? We propose here an analysis of the livelihood impacts of   tropical forest fragmentation, which will begin with a better definition   of the spatial processes involved in fragmentation. As it is difficult   to analyse the impacts of fragmentation without consideration of the   associated impacts of the causes-or drivers-of forest fragmentation, we   will analyse them in detail. Fragmentation results from a range of   drivers that are categorized into five groups: (i) economic factors;   (ii) governance factors; (iii) demographic factors; (iv) technological   factors; and (v) cultural factors. Economic factors are prevalent in   decisions, with forest conservation often being a luxury for wealthy   people. Stakeholders who gain direct economic returns from deforestation   - from logging, farming and facilitated access to markets - will also   benefit globally from forest fragmentation, the benefits from these   drivers by far outweighing the loss of ecosystem services. However,   forest dwellers and isolated forest communities will often have to   choose between `modern' life or the cultural specificities that shaped   their identity. Throughout the chapter, the forest-transition curve is   used as a heuristic framework to understand the relationships between   human development and the loss and fragmentation of forest cover.",1496,NO,SL,,,
"Jane M. Wolken, Teresa N. Hollingsworth, T. Scott Rupp, F. Stuart Chapin III, Sarah F. Trainor, Tara M. Barrett, Patrick F. Sullivan, A. David McGuire, Eugenie S. Euskirchen, Paul E. Hennon, Erik A. Beever, Jeff S. Conn, Lisa K. Crone, David V. D'Amore, Nancy Fresco, Thomas A. Hanley, Knut Kielland, James J. Kruse, Trista Patterson, Edward A. G. Schuur, David L. Verbyla, John Yarie",2011,Evidence and implications of recent and projected climate change in   Alaska's forest ecosystems,ECOSPHERE,NA,NA,10.1890/ES11-00288.1,"The structure and function of Alaska's forests have changed   significantly in response to a changing climate, including alterations   in species composition and climate feedbacks (e. g., carbon, radiation   budgets) that have important regional societal consequences and human   feedbacks to forest ecosystems. In this paper we present the first   comprehensive synthesis of climate-change impacts on all forested   ecosystems of Alaska, highlighting changes in the most critical   biophysical factors of each region. We developed a conceptual framework   describing climate drivers, biophysical factors and types of change to   illustrate how the biophysical and social subsystems of Alaskan forests   interact and respond directly and indirectly to a changing climate. We   then identify the regional and global implications to the climate system   and associated socio-economic impacts, as presented in the current   literature. Projections of temperature and precipitation suggest   wildfire will continue to be the dominant biophysical factor in the   Interior-boreal forest, leading to shifts from conifer-to   deciduous-dominated forests. Based on existing research, projected   increases in temperature in the Southcentral- and Kenai-boreal forests   will likely increase the frequency and severity of insect outbreaks and   associated wildfires, and increase the probability of establishment by   invasive plant species. In the Coastal-temperate forest region snow and   ice is regarded as the dominant biophysical factor. With continued   warming, hydrologic changes related to more rapidly melting glaciers and   rising elevation of the winter snowline will alter discharge in many   rivers, which will have important consequences for terrestrial and   marine ecosystem productivity. These climate-related changes will affect   plant species distribution and wildlife habitat, which have regional   societal consequences, and trace-gas emissions and radiation budgets,   which are globally important. Our conceptual framework facilitates   assessment of current and future consequences of a changing climate,   emphasizes regional differences in biophysical factors, and points to   linkages that may exist but that currently lack supporting research. The   framework also serves as a visual tool for resource managers and policy   makers to develop regional and global management strategies and to   inform policies related to climate mitigation and adaptation.",1497,NO,SL,,,
"Celine Bellard, Jonathan M. Jeschke, Boris Leroy, Georgina M. Mace",2018,Insights from modeling studies on how climate change affects invasive   alien species geography,ECOLOGY AND EVOLUTION,5688-5700,5688-5700,10.1002/ece3.4098,"Climate change and biological invasions are threatening biodiversity and   ecosystem services worldwide. It has now been widely acknowledged that   climate change will affect biological invasions. A large number of   studies have investigated predicted shifts and other changes in the   geographic ranges of invasive alien species related to climate change   using modeling approaches. Yet these studies have provided contradictory   evidence, and no consensus has been reached. We conducted a systematic   review of 423 modeling case studies included in 71 publications that   have examined the predicted effects of climate change on those species.   We differentiate the approaches used in these studies and synthesize   their main results. Our results reaffirm the major role of climate   change as a driver of invasive alien species distribution in the future.   We found biases in the literature both regarding the taxa, toward plants   and invertebrates, and the areas of the planet investigated. Despite   these biases, we found for the plants and vertebrates studied that   climate change will more frequently contribute to a decrease in species   range size than an increase in the overall area occupied. This is   largely due to oceans preventing terrestrial invaders from spreading   poleward. In contrast, we found that the ranges of invertebrates and   pathogens studied are more likely to increase following climate change.   An important caveat to these findings is that researchers have rarely   considered the effects of climate change on transport, introduction   success, or the resulting impacts. We recommend closing these research   gaps, and propose additional avenues for future investigations, as well   as opportunities and challenges for managing invasions under climate   change.",1498,NO,SL,,,
"Masha Jankovic, Sergei Petrovskii",2013,Gypsy moth invasion in North America: A simulation study of the spatial   pattern and the rate of spread,ECOLOGICAL COMPLEXITY,132-144,132-144,10.1016/j.ecocom.2013.01.006,"Gypsy moth is regarded as one of the top most harmful invasive species.   Its invasion in the northeastern US has led to widespread forest   defoliation, wildlife disruption and even a change in biogeochemical   conditions over the area of 10(6) km(2). Spread of gypsy moth has a few   distinct features such as a patchy spatial distribution of the gypsy   moth population, which is largely uncorrelated to the environmental   heterogeneity, and a high variability (almost over an order of   magnitude) in the spread rates. These features are usually explained by   human-assisted dispersal, e.g. when masses of gypsy moth eggs are   inadvertently transported by cars and vehicles. This theory, however,   somewhat disagrees with the existence of the strong Allee effect that   tends to wipe out small new colonies. In this paper, we suggest an   alternative explanation that the patchy structure can result from the   interplay between two natural factors such as wind dispersal and viral   infection. In order to check this hypothesis, we describe the gypsy moth   spread with a diffusive SI model and study its properties by means of   extensive computer simulations. Interestingly, in a certain parameter   range our model shows formation of spatial patterns that are   qualitatively similar to those observed in the field. To find out the   relevant parameter range, we make a careful review of available   literature sources. For biologically meaningful parameter values, we   then show that the rates of gypsy moth spread predicted by our model are   in good agreement with the lower band of the rates observed in nature.   (C) 2013 Elsevier B.V. All rights reserved.",1499,NO,SL,,,
"D. J. Gochfeld, C. G. Easson, C. J. Freeman, R. W. Thacker, J. B. Olson",2012,Disease and nutrient enrichment as potential stressors on the Caribbean   sponge Aplysina cauliformis and its bacterial symbionts,MARINE ECOLOGY PROGRESS SERIES,101-111,101-111,10.3354/meps09716,"Sponge diseases have recently emerged as potential forces structuring   coral reefs. The increasing prevalence of disease on reefs may be due to   changes in the virulence of pathogens and/or to decreases in host   resistance as a result of changing environmental conditions. Coral reef   ecosystems typically thrive in oligotrophic waters; however, runoff of   fertilizers or sewage that contains elevated concentrations of nutrients   can lead to eutrophic conditions. Aplysina cauliformis is a dominant   member of the Caribbean sponge community, and is susceptible to Aplysina   Red Band Syndrome (ARBS), a disease that causes reduced sponge growth   and survival. We assessed the independent and interacting effects of   nutrient enrichment and disease on A. cauliformis, using a factorial   field experiment in which healthy and diseased sponges were exposed to   nutrient-enriched or non-enriched treatments. Impacts on ARBS virulence   (rate of lesion growth) and host response (both sponge and   cyanobacterial symbiont growth and physiology) were assessed. ARBS   lesions increased rapidly regardless of nutrient treatment, and disease   had a significantly greater detrimental impact on sponges than did   nutrient enrichment, as evidenced by a decline in sponge mass and   reduced total protein content. The sponge-cyano bacterial symbiont   relationship was less impacted by disease, although the   sponge-associated bacterial community was significantly affected by   sponge condition, with healthy sponges and diseased tissue hosting   significantly different bacterial assemblages. In contrast, nutrient   enrichment had no effects on sponge or symbiont physiology. Disease is a   much greater stressor than eutrophication on the growth and physiology   of A. cauliformis and its cyanobacterial symbionts.",1500,NO,SL,,,
"Marie-Line Fiola, Alizee Vernouillet, Marc-Andre Villard",2017,Linking songbird nest predation to seedling density: Sugar maple masting   as a resource pulse in a forest food web,ECOLOGY AND EVOLUTION,10733-10742,10733-10742,10.1002/ece3.3581,"The ecological literature presents considerable evidence for top-down   forcing on the maintenance of species diversity. Yet, in temperate   forests, bottom-up forces often exert a strong influence on ecosystem   functioning. Here, we report on the indirect influence of a pulsed   resource, sugar maple (Acer saccharum) seed production, on nest survival   in a migratory songbird. We hypothesized that seed production in year t   would determine daily nest survival rate in year t+1 through its effects   on seed-eating rodents. We used the density of sugar maple seedlings   (with cotyledons) in year t+1 as a proxy for seed production in year t   and predicted that it would be inversely related to songbird nest   survival the same year. We estimated the density of sugar maple   seedlings, eastern chipmunk (Tamias striatus) activity, and daily nest   survival rate in the ovenbird (Seiurus aurocapilla) over four successive   years in a northern hardwood forest of New Brunswick, Canada. Seedling   density varied by two orders of magnitude between years, whereas an   index of chipmunk activity changed by an order of magnitude. Both   variables were positively correlated and negatively correlated to daily   nest survival rate. A logistic-exposure model including only seedling   density received the greatest level of support (lowest AIC(c)). Previous   studies have reported the effect of sugar maple masting on seed-eating   rodent populations, but the strong link we report between seedling   density and songbird nest survival is novel. A nocturnal seed-eating   nest predator, deer mouse (Peromyscus maniculatus), was not considered   in our models, which may explain why chipmunk was not the best predictor   of daily nest survival rate. The trophic linkages we observed are   remarkably strong for a temperate forest ecosystem and might become more   prevalent in northeastern North America, at least on calcium-rich soils,   with the loss of large-diameter beech trees as a result of beech bark   disease.",1501,NO,SL,,,
Fred Gould,2008,Broadening the application of evolutionarily based genetic pest   management,EVOLUTION,500-510,500-510,10.1111/j.1558-5646.2007.00298.x,"Insect- and tick-vectored diseases such as malaria, dengue fever, and   Lyme disease cause human suffering, and current approaches for   prevention are not adequate. Invasive plants and animals such as Scotch   broom, zebra mussels, and gypsy moths continue to cause environmental   damage and economic losses in agriculture and forestry Rodents transmit   diseases and cause major pre- and postharvest losses, especially in less   affluent countries. Each of these problems might benefit from the   developing field of Genetic Pest Management that is conceptually based   on principles of evolutionary biology This article briefly describes the   history of this field, new molecular tools in this field, and potential   applications of those tools. There will be a need for evolutionary   biologists to interact with researchers and practitioners in a variety   of other fields to determine the most appropriate targets for genetic   pest management, the most appropriate methods for specific targets, and   the potential of natural selection to diminish the effectiveness of   genetic pest management. In addition to producing environmentally   sustainable pest management solutions, research efforts in this area   could lead to new insights about the evolution of selfish genetic   elements in natural systems and will provide students with the   opportunity to develop a more sophisticated understanding of the role of   evolutionary biology in solving societal problems.",1502,NO,SL,,,
"Edwin J. Niklitschek, David H. Secor, Pamela Toledo, Alejandra Lafon, Mario George-Nascimento",2010,Segregation of SE Pacific and SW Atlantic southern blue whiting stocks:   integrating evidence from complementary otolith microchemistry and   parasite assemblage approaches,ENVIRONMENTAL BIOLOGY OF FISHES,399-413,399-413,10.1007/s10641-010-9695-9,"Southern blue whiting Micromesistius australis support one of the   largest industrial fisheries in South America. Two main spawning/nursery   grounds are known: one in the SW Atlantic Ocean (SWA), southwest from   the Falkland (Malvinas) Islands; and other in the SE Pacific Ocean   (SEP), south from the Taitao Peninsula. Juveniles originating from both   grounds are believed to mix during migration and/or in feeding areas in   the Scotia Sea. Previous efforts to distinguish stocks in this area have   yielded contradictory results between genetics and otolith microchemical   analyses. In the present work we revisited the null hypothesis of a   single stock occurring in the broader SWA-SEP region by comparing and   integrating results from different approaches: trace metals (Ca, Sr, Ba,   Mg, Mn) and stable isotopes (delta C-13, delta O-18) in otolith cores,   and parasite assemblage compositions in adults from SWA and SEP spawning   grounds. We found significant differences in Sr:Ca, delta C-13 and delta   O-18 mean ratios between spawning grounds. The best trace element   discriminant model classified 83\% of the samples. Each stable isotope   discriminated >90\% of the samples, while combining them into a   bivariate discriminant model led to 100\% classification success. Higher   delta O-18 levels in the SWA samples agreed with lower mean temperature   and higher ambient delta O-18 levels in that area. Parasite assemblage   compositions also showed significant differences between grounds   regarding the prevalence of Chondracanthus, Contracaecum, Hepatoxylon   and Grillotia and the abundance of Diclidophora, Anisakis, Contracaecum,   Hysterothylacium and Hepatoxylon. Parasite-based discriminant models   supported 90-100\% correct assignment of samples to capture location.   Although preliminary due to limited sampling coverage, our results   support the existence of at least two ecologically distinct   sub-populations of southern blue whiting in South America. The joint use   of otolith microchemistry and parasitological techniques showed to be a   promising way to test hypotheses concerning ecological stocks in marine   fishes.",1503,NO,SL,,,
"Alena Voriskova, Martina Janouskova, Renata Slavikova, Hana Pankova, Ondrej Daniel, Kristyna Vazacova, Jana Rydlova, Miroslav Vosatka, Zuzana Muenzbergova",2016,Effect of past agricultural use on the infectivity and composition of a   community of arbuscular mycorrhizal fungi,AGRICULTURE ECOSYSTEMS \& ENVIRONMENT,28-39,28-39,10.1016/j.agee.2016.01.012,"When species-rich semi-natural grasslands undergo conversion to arable   fields and back to grasslands, the effect of past intensive agricultural   management may persist for decades in the form of decreased plant   diversity. Arbuscular mycorrhizal fungi (AMF) are an important component   of grassland ecosystems affecting the biodiversity and productivity of   plant communities, but little is known about their long-term response to   past agricultural management after the abandonment of fields. The aim of   this study was to compare the infectivity and composition of the AMF   communities of a former field, abandoned 25 years ago, and a neighboring   non-disturbed grassland, and to assess whether the composition of   intraradical AMF communities can be linked to the inability of some   plant species to colonize the abandoned field. AMF infectivity and   diversity were evaluated in soil and root samples of 12 plant species   differing in their ability to colonize abandoned fields. The abandoned   field hosted the same pool of AMF taxa as the undisturbed grassland but   the community of AMF colonized plant roots faster from a lower number of   infective propagules in the abandoned field than in the grassland. The   composition of intraradical AMF communities was affected by the biotope   and the plant species, but was unrelated to the ability of the plant   species to colonize the abandoned field. It is therefore concluded that   plants and AMF have colonized the abandoned field independently and that   differences between the AMF communities of the two biotopes reflect   persisting differences in soil characteristics. (C) 2016 Elsevier B.V.   All rights reserved.",1504,NO,SL,,,
"M. S. Smith, I. Milton, M. R. Strand",2010,Phenotypically plastic traits regulate caste formation and soldier   function in polyembryonic wasps,JOURNAL OF EVOLUTIONARY BIOLOGY,2677-2684,2677-2684,10.1111/j.1420-9101.2010.02127.x,"Polyembryonic encyrtid wasps are parasitoids that have evolved a clonal   form of embryogenesis and a caste system where some progeny become   reproducing wasps whereas others develop into a sterile soldier caste.   Theory based on the biology of Copidosoma floridanum predicts that the   primary role of soldier larvae is to mediate conflict over sex ratio,   which also favours female-biased soldier production. Other data,   however, suggest that female-biased soldier production reflects a   developmental constraint. Here, we assessed whether female-biased   soldier function by polyembryonic wasps reflects sex-specific adaptation   or constraint by conducting comparative studies with Copidosoma bakeri,   a species that produces clutch sizes similar to C. floridanum yet rarely   produces broods associated with sex ratio conflict. Our results indicate   that the oviposition behaviour of adults, development of progeny and   function of soldier larvae differ greatly between C. bakeri and C.   floridanum. These findings indicate that caste formation and soldier   function in polyembryonic encyrtid wasps are regulated by phenotypically   plastic traits. Our results further suggest that the primary function of   the soldier caste in some species is defence of host resources from   competitors whereas in others it is the resolution of sex ratio   conflict.",1505,NO,SL,,,
"Guangming Zhang, Xingguo Han",2010,N:P stoichiometry in Ficus racemosa and its mutualistic pollinator,JOURNAL OF PLANT ECOLOGY,123-130,123-130,10.1093/jpe/rtq006,"Aims   Nitrogen (N) and phosphorus (P) are limiting nutrients to life across a   variety of ecosystems. N:P stoichiometry, concerning the balance of   these two elements, has recently received great attention. However,   little is known about the nature of N:P stoichiometry in obligate   mutualism.   Methods   N:P stoichiometry of Ficus racemosa and its pollinating wasp Ceratosolen   fusciceps, an example of coevolving obligate mutua I ism, was   investigated, and the N:P stoichiometric traits of male versus female   wasps were compared.   Important Findings   Nutrient concentrations in C. fusciceps were much higher than in its   host. N enrichment in fig wasp was evidently stronger than phosphorus. N   concentrations of male fig wasps were significantly higher than those of   females, while P concentrations of female fig wasps were remarkably   higher than those of male ones. Therefore, N:P ratios in male fig wasps   were significantly greater than in female fig wasps. N:P ratio in   fig-pollinating wasp displayed linear functions to fig N contents,   suggesting that N limitation in fig wasps may dominate the nutritional   relationship between fig pollinator and its host. Fig wasp population   size had significant influences on N concentrations in host fig and   female wasp per se. Driven by the nutritional stress of pollinating and   parasite insects, fig fruit preferred increasing its diameter first but   not nutrient richness. Values for N and P contents of fig pollinators   showed seasonal differences with greater N:P ratios in dry season than   in rainy season. The observations suggest that tropical climate change   would result in more severe N limitation to fig-pollinating wasp and may   further influence the stability of fig fig wasp mutualism.",1506,NO,SL,,,
"Kristen K. Becklund, Linda L. Kinkel, Jennifer S. Powers",2014,Landscape-scale Variation in Pathogen-suppressive Bacteria in Tropical   Dry Forest Soils of Costa Rica,BIOTROPICA,657-666,657-666,10.1111/btp.12155,"Bacteria in the genus Streptomyces are ubiquitous in soil and are   well-known for their production of diverse secondary metabolites,   including antibiotics that can inhibit soil-borne plant pathogens and   suppress disease. Pathogen-suppressive soil bacteria have the potential   to influence plant community composition and diversity, but remain   relatively unexplored in tropical forest soils. To estimate the   potential for disease suppression among Streptomyces communities in   tropical dry forests, we cultured soil-borne Streptomyces from plots in   two forests in northwestern Costa Rica (Santa Rosa and Palo Verde) and   quantified antibiotic-mediated pathogen inhibition against three plant   pathogens. The potential for pathogen inhibition and disease suppression   by Streptomyces was highly variable across the landscape. Densities of   pathogen-suppressive Streptomyces varied by over ten-fold and were   correlated with soil nutrients across the plots. In particular,   Streptomyces communities became more pathogen-suppressive as labile soil   P decreased. Inhibitor densities were significantly higher in Santa Rosa   than Palo Verde, which may be related to differences in soil texture   and/or plant community composition between the two forests. Our findings   suggest potential differences in the degree and specificity of   antibiotic-mediated disease suppression in tropical dry forest soils of   Costa Rica, and highlight the need for further studies on the drivers of   pathogen-suppressive phenotypes as well as the consequences of spatially   variable pathogen inhibition for plant community composition in tropical   forest ecosystems.   Resumen Las bacterias del genero Streptomyces son ubicuas en el suelo y   son conocidas por su capacidad de producir diversos metabolitos   secundarios. Estos incluyen antibioticos que pueden inhibir   fitopatogenos del suelo y disminuir enfermedades. Las bacterias que   suprimen el crecimiento de patogenos pueden influir en la composicion y   la diversidad de comunidades de plantas, pero han sido poco estudiadas   en suelos de bosques tropicales. Para estimar el potencial de supresion   de enfermedades de diferentes comunidades de Streptomyces en el bosque   tropical seco, cultivamos Streptomyces de muestras de suelo colectadas   en parcelas en dos bosques en la region Noroeste de Costa Rica, y   cuantificamos la frecuencia e intensidad de inhibicion de tres patogenos   vegetales. El potencial de inhibicion de patogenos y supresion de   enfermedad de Streptomyces fue muy variable entre sitios. Las densidades   de Streptomyces supresoras de patogenos variaron mas de diez veces y se   observo una correlacion entre la densidad de bacterias y la   concentracion de nutrientes en el suelo de las parcelas.   Especificamente, hubo mayor supresion de patogenos en suelos con bajas   concentraciones de fosforo labil. Las densidades de inhibidores fueron   significativamente mayores en Santa Rosa que en Palo Verde, lo que puede   estar relacionado con las diferencias en la textura del suelo y/o   diferencias en la composicion de las comunidades vegetales entre los dos   sitios. Nuestros resultados sugieren que existen diferencias en el grado   y la especificidad de la supresion de enfermedades mediada por   antibioticos en suelos del bosque tropical seco de Costa Rica, y   resaltan la necesidad de mas estudios acerca de los factores que   influyen en la presencia de diferentes fenotipos supresores de   patogenos, asi como las consecuencias de la variacion espacial de la   inhibicion de patogenos para la composicion de las comunidades vegetales   en ecosistemas de bosques tropicales.",1507,no,SL,,,
"Kate S. E. Henson, Paul G. Craze, Jane Memmott",2009,"The restoration of parasites, parasitoids, and pathogens to heathland   communities",ECOLOGY,1840-1851,1840-1851,10.1890/07-2108.1,"Higher trophic level species such as parasites, parasitoids, and   pathogens are frequently ignored in community studies, despite playing   key roles in the structure, function, and stability of ecological   communities. Furthermore, such species are typically among the last in a   community to reestablish due to their reliance upon lower trophic level   resources and a requirement for persistent, stable ecological   conditions. Consequently their presence alone can be indicative of   healthy ecosystems. Using replicated, quantitative food webs we studied   the impacts of a restoration treatment upon the interactions of a   tri-trophic community consisting of plants, their bumble bee   pollinators, and the parasites, parasitoids, and pathogens of the bumble   bees at heathland sites. We found the lower trophic levels of the   community successfully reinstated at restored relative to control sites.   However the abundance, load per host, prevalence of parasitism,   prevalence of superparasitism, and host range of a key dipteran   parasitoid of the family Conopidae were all significantly reduced in   restored heathlands. Potential causes for this incomplete   reestablishment at restored sites include the lag in floral resources   due to differences in. oral species composition, and the reduced ability   of this parasitoid species in accessing host resources relative to other   natural enemy species present in these communities. Moreover the   incomplete reinstatement of the natural enemy community was found to   significantly reduce levels of network vulnerability (a measure of how   vulnerable prey is to being consumed) at restored sites relative to   ancient, control networks.",1508,MAYBE,SL,no,data on PP but not on ecosystem processes affected by PP,
"Lucy Gilbert, Kirstyn Brunker, Unni Lande, Ingeborg Klingen, Lise Grova",2017,Environmental risk risk factors for Ixodes ricinus ticks and their   infestation on lambs in a changing ecosystem: Implications for tick   control and the impact of woodland encroachment on tick-borne disease in   livestock,AGRICULTURE ECOSYSTEMS \& ENVIRONMENT,265-273,265-273,10.1016/j.agee.2016.12.041,"Despite global deforestation some regions, such as Europe, are currently   experiencing rapid reforestation. Some of this is unintended woodland   encroachment onto farmland as a result of reduced livestock pasture   management. Our aim was to determine the likely impacts of this on   exposure to ticks and tick borne disease risk for sheep in Norway, a   country experiencing ecosystem changes through rapid woodland   encroachment as well as increases in abundance and distribution of   Ixodes ricinus ticks and tick-borne disease incidence. We conducted   surveys of I. ricinus ticks on ground vegetation using cloth lure   transects and counts of ticks biting lambs on spring pastures, where   lambs are exposed to infection with Anaplasma phagocytophllurn, the   causative agent of tick-borne fever in livestock. Pastures had higher   densities of I. ricinus ticks on the ground vegetation and more ticks   biting lambs if there was more tree cover in or adjacent to pastures.   Importantly, there was a close correlation between questing tick density   on pastures and counts of ticks biting lambs on the same pasture,   indicating that cloth lure transects are a good proxy of risk to   livestock of tick exposure and tick-borne disease. These findings can   inform policy on environmental tick control measures such as habitat   management, choice of livestock grazing area and off-host application of   tick control agents. (C) 2017 Elsevier B.V. All rights reserved.",1509,NO,SL,,,
"Jemma Heyburn, Paul McKenzie, Michael J. Crawley, Dario A. Fornara",2017,Long-term belowground effects of grassland management: the key role of   liming,ECOLOGICAL APPLICATIONS,2001-2012,2001-2012,10.1002/eap.1585/full,"The functioning of human-managed grassland ecosystems strongly depends   on how common management practices will affect grassland ``belowground   compartment'' including soil biogeochemistry and plant roots. Key   questions remain about how animal grazing, liming (e.g., the addition of   CaCO3 to soils), and nutrient fertilization might affect, in the   long-term, soil nutrient cycling and multiple root traits. Here we focus   on a mesotrophic grassland located in Berkshire, UK, where contrasting   levels of rabbit grazing, liming, and different inorganic fertilizers   have been applied since 1991. We ask how (1) soil nitrogen (N)   availability and cycling, (2) total root mass, (3) root mass   decomposition, and (4) arbuscular mycorrhizal fungal (AMF) root   colonization might respond to 22 years of very different management. We   found that liming strongly affected total root mass, root decomposition,   root AMF colonization as well as soil N availability and cycling and   that these effects were mainly driven by liming-induced increases in   soil pH. Increases in soil pH were associated with significant (1)   decreases in root mass, (2) increases in root mass decomposability and   in the mineralization of N in decomposing root detritus, and (3)   increases in AMF infection. Soil pH was also significantly related to   greater N availability (i.e., soil NO3 levels) and to lower delta N-15   natural abundance, which suggests more efficient N uptake by plants in   limed soils as we found in our study. The application of multiple   nutrients (N, P, K, Mg) also reduced total root mass, while N-only   fertilization was associated with greater AMF infection. Surprisingly   the long-term impact of grazing was generally weak and not significant   on most plant and soil parameters. Despite soil pH affecting most   belowground variables, changes in soil pH were not associated with any   change in soil C and N stocks. Because liming can improve nutrient   cycling (and benefits soil pH and grass yields) without negatively   affecting soil C sequestration, we suggest that regular liming   applications may provide management solutions for increasing the   long-term sustainability of permanent grassland.",1510,NO,SL,,,
"N. Manaut, H. Sanguin, L. Ouahmane, M. Bressan, J. Thioulouse, E. Baudoin, A. Galiana, M. Hafidi, Y. Prin, R. Duponnois",2015,Potentialities of ecological engineering strategy based on native   arbuscular mycorrhizal community for improving afforestation programs   with carob trees in degraded environments,ECOLOGICAL ENGINEERING,113-119,113-119,10.1016/j.ecoleng.2015.03.007,"Efficient afforestation programs are crucial to limit soil degradation   in various arid and semi-arid ecosystems. However, the success of these   programs is dependant to the plant type selected for revegetation and   the methods used for seedling production. Exotic fast-growing trees have   been largely planted but their use is currently controversial because of   their potential negative ecological impacts. Whereas the positive impact   of arbuscular mycorrhizal (AM) fungal inoculation in nursery was   demonstrated, few studies focused on the monitoring of mycorrhizal   inoculation in arid and semi-arid ecosystems. In addition, the majority   of studies are based on single-species inocula with non native AM fungal   strains. The current study aims at evaluating the efficiency of   mycorrhizal inoculation of the emblematic Mediterranean carob tree   (Ceratonia siliqua) in a Moroccan degraded site, through an ecological   engineering strategy based on the use of a complex native AM community   (naturally associated to carob trees). Results demonstrate the high   potential of this approach by improving sustainably the growth and   nutrient status of carob trees in a 3-year-old plantation and also by   inducing a positive soil microbial environment for nutrient cycling and   environmental stress resistance. (C) 2015 Elsevier B.V. All rights   reserved.",1511,NO,SL,,,
