ID,author,title,Pathogen kingdom,pathogen.kingdom.notes,Host kingdom,host kingdom notes,System,System.2,System.2.simplified,PP to ecosystem fxn,PP abundance,PP morbidity,PP to host infection prevalence / intensity,PP to abund biomass,PP to morbidity,PP to unknown,abund biomass to ecosystem fxn,morbidity to ecosystem fxn,unknown to ecosystem fxn,ecosystem fxn to PP,abiotic or biotic,location,note,experimental (PP manipulation or mimic) (1) observational (2) both (3),process vs. standing stock vs. both,process vs. standing stock notes,highest observational scale (species vs. community/ecosystem) of ecosystem impact,type of manipulation or comparison,spatial scale,coordinates in paper,date processed,time start,time end,time elapsed,exclude,reason for excluding
2097,Gomez-Aparicio,Plant-soil feedbacks in declining forests: implications for species   coexistence,fungus,,plant,,terrestrial,forest,,0,0,,0,1,0,,1,0,,0,1,"Los Alcornocales Natural
Park, Spain",,1,stock,stock,assemblage,experimental manipulation of soil origin and soil sterilization from soils associated with healthy vs. defoliated Q. suber,greenhouse experiment from field collected soils and seeds,0,8/16,14:50,15:21,0:31:00,,
2116,O'Connell-Milne,"Reduced growth, body condition and foot length of the bivalve   Austrovenus stutchburyi in response to parasite infection",animal,,animal,,aquatic,ocean,,1,0,,0,1,1,,1,0,,0,0,"Otago Harbour, New Zealand",,2,stock,stock,species,observation of effects of experimental infection in the lab of field-collected clams,containers in the lab,0,8/16,15:22,15:43,0:21:00,,
2119,Laurance,Long-term changes in liana abundance and forest dynamics in undisturbed   Amazonian forests,plant,,plant,,terrestrial,forest,,1,1,,0,1,0,,1,0,,0,1,"70 km north of Manaus, Brazil",,2,stock,stock,ecosystem,observation of lianas over time,36 1-ha plots,1,8/16,15:55,16:07,0:12:00,,
2123,March,Parasites boost productivity: effects of mistletoe on litterfall   dynamics in a temperate Australian forest,plant,,plant,,terrestrial,forest,,1,0,,0,0,1,1,0,0,1,0,0,"Morgan's Ridge, 10 km NE of Holbrook, New South Wales, Australia",,2,process,process,ecosystem,litter collection; observations of leaf lifespan; observations of plant biomass,litter collected in 6 0.1ha plots,1,8/16,16:10,16:25,0:15:00,,
2137,Schuldt,"Herbivore and pathogen effects on tree growth are additive, but mediated   by tree diversity and plant traits",fungus,,plant,,terrestrial,forest,,0,0,,1,1,0,,1,0,,0,1,"BEF-China experiment, Xinganghsan, Jiangxi province, SE China","yes experiment, no experiment directly on PP; ecosystem = all plants",1,process,process,ecosystem,manipulatio of plant species composition,"two sites of 20 ha each, 566 plots of 25.8 X 25.8 m2",1,8/17,12:05,12:25,0:20:00,,
2145,Grady,A bridge too far: cold and pathogen constraints to assisted migration of   riparian forests,fungus,,plant,,terrestrial,forest,,0,0,,1,1,0,,1,0,,0,1,"Chevelon Conservation Area, 17 km from Winslow, AZ",,1,process,process,species,common garden experiment of trees from 19 locations across climate gradient in AZ,2 ha common garden,1,8/17,12:35,12:48,0:13:00,,
2146,Lovett,"Long-term Changes in Forest Carbon
and Nitrogen Cycling Caused by an
Introduced Pest/Pathogen Complex",fungus,,plant,,terrestrial,forest,,0,0,,1,0,1,1,0,1,1,0,1,"Diamond Notch watershed, near Lanesville, Catskill Mountains, NY, USA",,2,stock,stock,assemblage,observation of plants in relation to beech bark disease,31 plots each 20m X 20m in watershed,1,8/17,14:05,14:45,0:40:00,,
2167,Laybourn-Parry,"Virus dynamics in a large epishelf lake (Beaver Lake, Antarctica)",virus,,bacteria,,aquatic,lake,,0,1,,1,1,0,,1,0,,0,0,"Beaver Lake, MacRobertson Land, Australian Antarctic Territory",ecosystem because effects are measured at ecosystem scale,2,stock,stock,ecosystem,lab incubations and assays with field collected samples over time,samples from different depths at one location in lake,1,8/17,15:20,15:36,0:16:00,,
839,Theodorou,Pollination services enhanced with urbanization despite increasing   pollinator parasitism,multiple,trypanosomatids; microsporidian (fungi),animal,,terrestrial,urban,,0,0,,1,1,0,,1,0,,0,1,"Saxony-Anhalt, Germany",assemblage because several tested plant species,2,stock,stock,assemblage,potted plants as assays in field,25m x 25m plots within 9 sites,0,8/17,16:03,16:27,0:24:00,1,seed set is not a stock
857,Monks,Benefits associated with the domatia mediated tritrophic mutualism in   the shrub Coprosma lucida,fungus,,plant,,terrestrial,forest,,0,0,,1,0,1,,0,1,,0,1,"Dunedin, New Zealand",,1,stock,stock,species,potted plants in plots,plots along margins of forest; 25 replicates over 4 blocks,1,8/20,10:48,11:08,0:20:00,,
892,Spasojevic,Contrasting effects of hemiparasites on ecosystem processes: can   positive litter effects offset the negative effects of parasitism?,plant,,plant,,terrestrial,alpine tundra,,1,0,,0,1,0,,1,0,,0,1,"Niwot Ridge, Front Range, Rocky Mountains, CO, USA",ecosystem because N pools,2,both,both,ecosystem,comparison of high vs. no/low P paired plots,15 matched 0.5m2 plots within 50m2 area,1,8/20,11:20,11:50,0:30:00,,
907,Lambden,Quantifying the biomass of parasites to understand their role in aquatic   communities,animal,,animal,,aquatic,wetland,,1,0,,0,0,0,,0,0,,0,1,"East Bay, CA, USA",,2,stock,stock,assemblage,estimation of mass of parasites across hosts,86 wetlands and 13 US Fish and Wildlife Service National Wildlife Refuges ,0,8/20,12:05,12:22,0:17:00,,
1053,Mouritsen,Community regulation by herbivore parasitism and density: Trait-mediated   indirect interactions in the intertidal,animal,,animal,,aquatic,coastal [intertidal],,0,0,,1,0,1,,0,1,,0,0,southern Danish Wadden Sea,ecosystem because chlorophyll a is not related to any particular species,1,stock,stock,ecosystem,field experimental manipulation of host presence and infection prevalence,40 20 cm x 8cm x 6 cm cages,1,8/20,12:50,13:13,0:23:00,,
1055,Studer,Effects of salinity on an intertidal host-parasite system: Is the   parasite more sensitive than its host?,animal,,animal,,aquatic,coastal [intertidal],,1,0,,0,1,0,,0,0,,0,1,"Otago Harbour, South Island, New Zealand",,1,process,process,species,experimental manipulation of environmental conditions (salinity) of PP and host,containers in the lab,1,8/20,13:57,14:09,0:12:00,,
1063,Mischler,Parasite infection alters nitrogen cycling at the ecosystem scale,animal,,animal,,aquatic,pond,,1,0,,0,0,1,1,0,1,1,0,0,"eastern CO, USA",,2,stock,stock,ecosystem,laboratory assays with snails varying in infection intensity; pond-scale environmental conditions in relation to infection prevalence,18 ponds ,1,8/20,14:14,14:33,0:19:00,,
1075,Maier,Prevalence of chytrid parasitism among diatom populations in the lower   Columbia River (2009-2013),fungus,,eukaryote,diatom,aquatic,river,,0,1,,1,1,0,,1,0,,0,1,"Beaver Army Terminal, river km 85, lower Columbia River, USA",assemblage because effect on carbon estimated for diatoms,2,both,both,assemblage,lab assays with field-collected samples,77 km along Columbia R,1,8/20,15:15,15:30,0:15:00,,
1081,Gillespie,Indirect effects on mutualisms: parasitism of bumble bees and   pollination service to plants,multiple,fungal (Nosema); animal (flies; Crithidia trypanosomatid),animal,,terrestrial,old field,,0,0,,1,1,1,,1,1,,0,,"western MA, USA",assemblage because effects on several plant genera; double-counting morbidity and abund/mortality because cannot distinguish between effects of either,2,stock,stock,assemblage,field assay of pollination services of bumblebees in relation to parasitism,26 meadows,appendix,8/21,13:40,14:00,0:20:00,,
917,Waring,Stand Development and Tree Growth Response to Sugar Pine Mortality in   Sierran Mixed-conifer Forests,fungus,,plant,,terrestrial,forest,,0,0,,0,1,0,0,1,0,0,0,1,"western Sierra Nevada Mountains, CA, USA",ecosystem because includes all species,2,stock,stock,ecosystem,observations of stands before versus after pathogen,8 plots from across N-S distribution of sugar pine in CA,1,8/21,15:35,16:03,0:28:00,,
919,Sato,Nematomorph parasites drive energy flow through a riparian ecosystem,animal,,animal,,aquatic,stream,,0,0,,0,0,1,0,0,1,0,0,0,"headwater stream, Totsu River system, Kii Peninsula, Honshu, Japan",species because ecosystem effects are on trout; process because change in mean daily energy intake over time,2,process,process,species,observations of fish biomass and energy intake in relation to nematomorph parasitism over time,0.7 km length of stream,1,8/21,16:20,16:50,0:30:00,,
928,Knight,Soil health as a predictor of lettuce productivity and quality: A case study of urban vacant lots,animal,,plant,,terrestrial,urban,,0,1,,0,1,1,0,1,0,0,0,1,"Hough neighborhood, Cleveland, OH, USA",species because ecosystem effects measured on lettuce,2,stock,stock,species,field assay of lettuce growth and health in relation to variation in naturally occurring PP,12 out of 300 city-owned vacant lots,1,8/21,16:55,17:11,0:16:00,,
930,Grimmett,Tar-spot infection delays fungal colonization and decomposition of maple   leaves,fungus,,plant,,aquatic,stream,,1,0,,0,0,1,0,0,1,0,0,0,"Boss Brook, Fenwick, Nova Scotia, Canada",experimental manipulation because selected infected vs. uninfected leaves; species because decomposition from one species,1,process,process,species,"leaf bag deployment with litter from infected, infected-adjacent, and uninfected leaves",stream,1,8/21,17:20,17:40,0:20:00,,
982,Streicker,Foraging choices of vampire bats in diverse landscapes: potential   implications for land-use change and disease transmission,animal,,animal,,terrestrial,"multiple (forest, livestock agriculture)",,1,0,,0,0,0,0,0,0,0,0,1,"coastal, Andes, and Amazonian Peru","species because single species of PP, from which the ecosystem effect stems",2,stock,stock,species,observation of stable isotopes in vampire bats in relation to isotopic distribution of prey,nine bat colonies in 5 geographic departments,0 (appendix?),8/22,13:35,13:56,0:21:00,,
1018,Borowicz,Resource limitation and the role of a hemiparasite on a restored prairie,plant,,plant,,terrestrial,grassland,,1,0,,0,1,0,0,1,0,0,0,1,"John English Prairie, Comlara Park, McLean County, IL, USA",ecosystem because all aboveground veg cliped,1,stock,stock,species,"manipulation of PP removal, shade, and fertilizer, in field and greenhouse",108 1m2 plots in one prairie,0,8/22,15:22,15:41,0:19:00,,
1027,Elwell,Host-parasite interactions and competition between tubificid species in   a benthic community,animal,(Myxobolus cerebralis),animal,,aquatic,pond,,0,0,,1,1,0,1,1,0,1,0,1,"tubificids taken from cultures from California Mt. Whitney fish hatchery settling ponds, CA, USA; myxospores from hatchery rainbow trout",assemblage because two species measured; both process (growth) and progeny biomass,1,both,both,assemblage,manipulation of PP dose and competitor species,containers in the lab,0,8/22,16:03,16:30,0:27:00,,
929,Buck,Effects of nutrient supplementation on host-pathogen dynamics of the   amphibian chytrid fungus: a community approach,fungus,,animal,,aquatic,pond,,0,0,,1,1,1,0,1,0,0,0,1,"Oregon State University Lewis-Brown Horticulture Research Farm near Corvallis, OR, U.S.A.",species because one species of host,1,stock,stock,species,mesocosm manipulation of nutients and Bd,32 120 L mesocosms,0,8/22,16:31,17:04,0:33:00,,
548,Xia,An Epichloe endophyte improves photosynthetic ability and dry matter   production of its host Achnatherum inebrians infected by Blumeria   graminis under various soil water conditions,fungus,,plant,,terrestrial,grassland,,0,0,,1,1,1,0,1,1,0,0,1,"experimental field and greenhouse, College of Pastoral Agricultural Science and Technology, Yuzhong campus, Lanzhou University, China",species because one species of host and measured at host plant level,1,both,both,species,experimental manipulation of pathogen in greenhouse,pots,1,8/27,11:09,11:42,0:33:00,,
570,van Molcken,Consequences of combined herbivore feeding and pathogen infection for   fitness of Barbarea vulgaris plants,fungus,,plant,,terrestrial,not reported,,0,0,,1,1,1,0,1,1,0,0,1,"plants from Kvaerkeby and Tisso, Zealand, Denmark",,1,stock,stock,species,experimental manipulation of pathogen and herbivore in greenhouse,pots in greenhouse,0,8/27,12:48,13:19,0:31:00,,
607,Rantala,Long-term changes in structure and function of a tropical headwater   stream following a disease-driven amphibian decline,fungus,,animal,,aquatic,stream,,0,0,,0,1,0,0,1,0,0,0,0,"Rio Maria, headwater stream in eastern Cordillera Central, El Valle, Panama",ecosystem because ecosystem-scale measures,2,process,process,ecosystem,comparison pre- vs. post-decline of amphibians due to chytrid,180-m reach of stream,1,8/27,13:45,14:10,0:25:00,,
608,Lettini,The energetic cost of parasitism in isopods,animal,,animal,,aquatic,freshwater,,1,0,,1,0,1,0,0,1,0,0,1,"Muskingum Brook, NJ, USA",species scale because measured in relation to isopod species,2,process,process,species,comparison of energetics of field-collected infected and uninfected individuals,random locations within 50-m stretch of stream used for collection,1,8/27,14:20,14:41,0:21:00,,
627,Metz,An emergent disease causes directional changes in forest species   composition in coastal California,fungus,,plant,,terrestrial,forest,,0,0,,1,1,0,0,1,0,0,0,1,"Big Sur, Santa Lucia Mountains, Monterey County, CA, USA","ecosystem because seem to have measured all the tree species (count as ecosystem if all in a functional group e.g. trees are measured). no, just measured six most common; no, appendix includes all",2,stock,stock,ecosystem,comparison of infected and uninfected plots,"280 500-m2 plots across 80,000 ha",0,8/27,14:54,15:14,0:20:00,,
631,Ram,Variable Viral and Grazer Control of Prokaryotic Growth Efficiency in   Temperate Freshwater Lakes (French Massif Central),virus,,prokaryote,,aquatic,lake,,0,1,,1,0,0,1,0,0,1,0,1,French Massif Central,,2,process,process,ecosystem,comparison across sites of PP abundance and parameters of hosts,11 lakes,1,8/27,15:15,15:59,0:44:00,,
636,Gao,"Effects of pine wilt disease invasion on soil properties and Masson pine   forest communities in the Three Gorges reservoir region, China",animal,,plant,,terrestrial,forest,,0,0,,0,0,0,1,0,0,1,0,0,"Yiling District, Three Gorges reservoir region, Yangtze River, China",,2,stock,stock,ecosystem,comparison of infected and uninfected plots,15 plots 30m x 30m each,1,8/28,14:54,15:11,0:17:00,,
657,Piskiewicz,Soil microorganisms control plant ectoparasitic nematodes in natural   coastal foredunes,animal,,plant,,terrestrial,foredunes,,0,0,,0,1,0,0,1,0,0,0,1,"Voorne, The Netherlands",species because effects at scale of species of dune grass,1,stock,stock,species,comparison of infected and uninfected plants and soil samples in greenhouse,field samples collected in six transects 50 m apart; greenhouse experiments in 1.5 l pots,1,8/29,11:20,11:33,0:13:00,,
660,Gao,Effect of Bursaphelenchus xylophilus infection on leaf photosynthetic   characteristics and resource-use efficiency of Pinus massoniana,animal,,plant,,terrestrial,forest,,0,0,,0,1,1,0,1,1,0,0,0,"Yiling District of China, eastern Three Gorges reservoir region, China",species because effects only about host plant species,2,both,both,species,"comparison of control, middle, and terminal phase plots; photosynthetic gas exchange and carbon isotope measurements on 3 trees per treatment. ","forest plots, spatial scale not specified",0,8/29,11:40,12:19,0:39:00,,
681,Heer,"Hemiparasite-density effects on grassland plant diversity, composition   and biomass",plant,,plant,,terrestrial,grassland,,0,0,,0,1,0,0,0,0,1,0,0,"Bernese lowland, Bernese Oberland, and Valais, Switzerland",ecosystem because harvested aboveground biomass,2,stock,stock,ecosystem,comparison of plots varying in infection prevalence,9 20cm x 20cm plots in each of 47 meadows,0,8/29,12:55,13:08,0:13:00,,
683,Carnegie,Impact of the invasive rust Puccinia psidii (myrtle rust) on native   Myrtaceae in natural ecosystems in Australia,fungus,,plant,,terrestrial,rainforest,,0,0,,1,1,0,0,1,0,0,0,1,"Olney State Forest, Central Coast, NSW, Australia",assemblage because two tree species as indicators,3,stock,stock,assemblage,comparison of disease and disease exclusion plots,"twenty trees (10 treatment, 10 control), selected every 5 m",1,8/29,13:40,13:51,0:11:00,,
700,Bruno,Impacts of aspergillosis on sea fan coral demography: modeling a moving   target,fungus,,animal,coral,aquatic,ocean,,0,0,,1,1,0,0,1,0,0,0,1,"upper Florida Keys, FL, USA; central Yucatan Peninsula, Mexico",species because one coral examined,2,stock,stock,species,longitudinal study of Aspergillus sydowii impacts on demography,>100 colonies at 5 reefs at 2 sites ,1,8/29,14:00,14:21,0:21:00,,
708,Hamilton,Daphnia in tadpole mesocosms: trophic links and interactions with   Batrachochytrium dendrobatidis,fungus,,animal,,aquatic,pond,,0,1,,0,1,0,0,1,0,0,0,1,"field sites: Bamfield; Port Renfrew, BC, Canada; mesocosms: University of Victoria, BC, Canada",species because one species of tadpole examined,1 (of PP predator),stock,stock,species,microcosm and mesocosm experiment,microcosm (Daphnia filtering of Bd): microcosm (25 ml); mesocosm: 1.6 m diameter tanks (24 replicates),1,8/29,14:25,14:43,0:18:00,,
718,Chen,Viral attack exacerbates the susceptibility of a bloom-forming alga to   ocean acidification,virus,,eukaryote,eukaryote alga,aquatic,ocean,,0,0,,1,1,1,0,1,1,0,0,1,isolated from bloom in Southern China Sea in 1997,,1,stock,stock,species,lab experiment with field-collected alga strain; manipulating virus and pH,lab experiment,0,8/29,15:54,16:13,0:19:00,,
736,Palesse,"Linking Host Prokaryotic Physiology to Viral Lifestyle Dynamics in a   Temperate Freshwater Lake (Lake Pavin, France)",virus,,prokaryote,,aquatic,freshwater lake,,0,1,,1,0,0,1,0,0,1,0,0,"Lake Pavin, France",ecosystem because all prokaryotes,2,stock,stock,ecosystem,lab assays with field-collected samples,"20 L field samples; lab assays with subsamples e.g. 8 ml, 200 ul",1,9/4,13:00,13:30,0:30:00,,
762,Ruess,Disease-Mediated Declines in N-Fixation Inputs by Alnus tenuifolia to   Early-Successional Floodplains in Interior and South-Central Alaska,fungus,,plant,,terrestrial,forest,,0,0,,1,1,0,0,1,0,0,0,0,"latitudinal transect: Kenai Peninsula to s of Fairbanks, AK","species because one species of tree, A. tenuifolia",2,stock,stock,species,samples from plots varying in infection prevalence,"3 20m x 20m plots within 2-3 km of river, in three locations",1,9/4,14:00,14:30,0:30:00,,
764,Cobb,"Litter Chemistry, Community Shift, and Non-additive Effects Drive Litter   Decomposition Changes Following Invasion by a Generalist Pathogen",fungus,,plant,,terrestrial,forest,,0,0,,0,0,1,0,0,1,0,0,1,"Jack London State Park, Sonoma County; Marin Municipal Water District, Marin County, CA, USA",assemblage because several tree species,2,both,both,assemblage,litter bag decomposition experiment with infected vs. uninfected samples,15 plots at each location,1 (supplement),9/4,16:38,16:56,0:18:00,,
739,Osterling,Parasitic freshwater pearl mussel larvae (Margaritifera margaritifera   L.) reduce the drift-feeding rate of juvenile brown trout (Salmo trutta   L.),animal,,animal,,aquatic,stream,,0,1,,0,0,1,0,0,1,0,0,0,"fish farm 30 km s of Sundsvall; trout from Oxsjoa stream, Ljungan catchment, Sweden",species because one species of parasitized trout,1 (experimentally infested some trout),process,process,species,feeding trial with naturally encysted vs. non-encysted trout,"a 0.58 m wide, 1.5 m long and 0.16 m deep flow-through aquarium",0,9/5,11:30,11:48,0:18:00,,
766,March,The contribution of mistletoes to nutrient returns: Evidence for a   critical role in nutrient cycling,plant,,plant,,terrestrial,forest,,1,0,,0,0,1,0,0,1,0,0,1,"south-west slopes region of New South Wales, Australia",assemblage because dominant species though not explicitly every spp of host,"2 (obs. of host vs. non-host plants, no manipulation of PP, though separate litter bags for host and non-host)",both,both,assemblage,"sampling of leaf litter from hosts, non-hosts, and mistletoes","1 km stretch of forest edge; 35 trees, 20 hosts, 15 non-hosts",1,9/5,11:50,12:25,0:35:00,,
781,Sato,A nematomorph parasite explains variation in terrestrial subsidies to   trout streams in Japan,animal,,animal,,aquatic,stream,,0,1,,1,0,1,0,0,1,0,0,1,"Kii Peninsula, central Honshu, Japan","species because just one species, trout, measured",2,process,process,species,"comparison of field samples of PP, hosts, community, and host predators across streams",100 m stretch of 9 streams associated with 4 rivers,0,9/5,12:36,12:58,0:22:00,,
788,LaBaude,Additive effects of temperature and infection with an acanthocephalan   parasite on the shredding activity of Gammarus fossarum (Crustacea:   Amphipoda): the importance of aggregative behavior,animal,,animal,,aquatic,river,,0,0,,0,0,1,0,0,1,0,0,1,"collected in Norges river, Bergundy, eastern France",species bc one species; experimental ,2 (naturally infested),process,process,species,comparison of consumption rate of infested vs. non-infested,hosts house individually or in microcosms,1,9/5,18:30,19:06,0:36:00,,
794,Rowntree,The effect of multiple host species on a keystone parasitic plant and   its aphid herbivores,plant,,plant,,terrestrial,grassland,,1,0,,0,0,0,0,0,0,0,0,1,"PP collected from Castle Hill National Nature Reserve in East Sussex, UK; hosts purchased, selected based on presence at location",assemblage because effects via PP and on aphids,1,stock,stock,assemblage,comparison of effects of host species and host species assemblage on PP and predators of PP ,pots in greenhouse,1,9/6,13:18,13:37,0:19:00,,
797,Williams,Ocean warming and acidification have complex interactive effects on the   dynamics of a marine fungal disease,fungus,,eukaryote,eukaryote (crustose coralline algae),aquatic,ocean,,0,0,,1,0,1,0,0,1,0,0,1,"Palmyra Atoll, Pacific Ocean",ecosystem because crustose coralline algae is a functional group ,2 (experiment with naturally infected and uninfected),process,process,ecosystem,comparison of effects of warming and acidification on calcification and disease progression,field survey of infection prevalence; lab experiment,1,9/6,14:06,14:29,0:23:00,,
1101,Cobb,Wildfire and forest disease interaction lead to greater loss of soil   nutrients and carbon,fungus,,plant,,terrestrial,forest,,0,0,,0,0,0,1,0,0,1,0,1,"Big Sur, CA, USA",ecosystem because soil effects encompass all plants,2 (sampling by disease status),stock,stock,ecosystem,"comparison of soil elements in relation to SOD, fire, forest type","280,500-m2 circular plots over 80,000 ha",0,9/6,15:16,15:43,0:27:00,,
1132,Butenschoen,Climate change triggers effects of fungal pathogens and insect   herbivores on litter decomposition,fungus,,plant,,terrestrial,forest,,0,0,,0,0,1,0,0,1,0,0,1,"Gottingen, Lower Saxony, Germany)",species because one species infected,2 (litter bag experiment),both,both,species,microcosm experiment on effects infection status on litter,microcosms (50 ml),1,9/6,16:50,17:36,0:46:00,,
1148,Corinaldesi,Viral infections stimulate the metabolism and shape prokaryotic   assemblages in submarine mud volcanoes,virus,,prokaryote,,aquatic,ocean,,0,1,,0,1,0,0,1,0,0,0,1,Sicily Channel (Western Mediterranean),ecosystem because all prokaryotes,2 (lab assays with field samples from mud volcanoes and controls),process,process,ecosystem,lab assays with field-collected samples,seven sampling areas,1,9/6,17:40,18:08,0:28:00,,
1169,Loydi,Opposite effects of litter and hemiparasites on a dominant grass under   different water regimes and competition levels,plant,,plant,,terrestrial,grassland,,1,0,,0,1,1,0,1,1,0,0,1,"seeds from commercial seed supplier; greenhouse close to Giessen, Germany",assemblage because multiple hemiparasites,1,stock,stock,assemblage,"randomized pot experiment examining effects of hemiparasite, litter, and soil moisture (constant vs. intermittent dry)",10 replicates of 4L pots for each treatment,1,9/7,8:45,9:06,0:21:00,,
1176,Whiles,Disease-Driven Amphibian Declines Alter Ecosystem Processes in a   Tropical Stream,fungus,,animal,,aquatic,stream,,0,0,,0,1,0,0,1,0,0,0,1,"Rio Maria stream, eastern Cordillera Central, Panama",ecosystem because entire functional groups / taxa / standing stock,2,both,both,ecosystem,pre- vs. post comparison of stream food web structure and function,180-m study reach,0,9/7,9:08,9:41,0:33:00,,
1183,Ndagurwa,"Mistletoes via input of nutrient-rich litter increases nutrient supply   and enhance plant species composition and growth in a semi-arid savanna,   southwest Zimbabwe",plant,,plant,,terrestrial,savanna,,1,0,,0,1,1,0,1,1,0,0,0,"National University of
Science and Technology Field Laboratory, southern highveld, Zimbabwe",ecosystem because measured effects on all grasses,2,both,both (stock over time),ecosystem,soil and grasses under infected vs. uninfected trees,10 infected and 10 uninfected trees in 160 ha ,1,9/7,9:44,10:09,0:25:00,,
1223,Ge,"Seasonal dynamics of dissolved organic carbon, nitrogen and other   nutrients in soil of Pinus massoniana stands after pine wilt disease   disturbance",animal,,plant,,terrestrial,forest,,0,0,,1,1,0,1,1,0,1,0,0,"Hefei, Anhui Province, East China",ecosystem because soil effects encompass all plants,2,stock,stock,ecosystem,"comparison of forest and soil characteristics in (selected highly, moderately, and undisturbed stands)","three stands in suburban forest park, each stand 40 m x 40 m",1,9/7,11:42,12:07,0:25:00,,
1233,Narr,Does infection tilt the scales? Disease effects on the mass balance of   an invertebrate nutrient recycler,bacteria,,animal,,aquatic,coastal,,0,1,,1,1,1,0,0,1,0,0,1,clones originally from Baltic Sea,,1 (experimentally infected),both,both,species,comparison of nutrient excretion and ingestion of infected and uninfected,individuals in 40 ml media,0,9/7,12:48,13:15,0:27:00,,
1237,Campbell,Demographic consequences of disease in a habitat-forming seaweed and   impacts on interactions between natural enemies,bacteria,,plant,,aquatic,ocean,,0,0,,1,1,1,0,1,0,0,0,1,"Bare Island in Botany Bay; Long Bay,  Malabar; near Sydney, Australia",ecosystem engineer,3 (includes artificial inoculation),stock,stock,species,"field comparison of survival, biomass, vigor of alga in relation to proportion of time bleached",not specified; 438 individuals at three depths and two locations,1,9/7,13:21,13:53,0:32:00,,
1240,Okubamichael,"Host specificity, nutrient and water dynamics of the mistletoe Viscum   rotundifolium and its potential host species in the Kalahari of South   Africa",plant,,plant,,terrestrial,savanna,,1,0,1,1,0,0,0,0,0,0,0,1,"Kalahari, 30 km n of Kimberley, Pniel Estates, South Africa",,1 (artificial inoculation),stock,stock,assemblage,"field survey of prevalence; greenhouse experiment comparing of P germination, water potential, nutrient status on different host taxa","23 50 m x 20 m plots, minimum distance 500 m for survey; greenhouse for experiment",0,9/7,14:40,15:07,0:27:00,,
1263,Colon-Gaud,Stream invertebrate responses to a catastrophic decline in consumer   diversity,fungus,,animal,,aquatic,stream,,0,0,0,0,1,0,0,1,0,0,0,1,"site 1: 2nd-order tributaries of Rio Guabal, Parque Nacional Omar Torrijoa Herrera, Cope, Cocle Province, Panama; site 2: tributaries to Rio Chiriqui, Reserva Forestal Fortuna, Chiriqui Province, Panama",ecosystem because all macroinverts,2,stock,stock,ecosystem,"observation (benthic, organic matter, tadpoles, invertebrates) pre- to post-decline of amphibians due to chytrid at one site; post at second site","4 reaches, each 100 m ",1,9/7,15:40,16:07,0:27:00,,
1264,Jenkins,"
Impacts of an exotic disease and vegetation change on foliar calcium   cycling in appalachian forests",fungus,,plant,,terrestrial,forest,,0,0,0,0,1,0,1,1,0,1,0,1,"western Great Smoky Mountains National Park, TN, USA",,2,stock,stock,ecosystem,comparison of foliar biomass and foliar calcium pre- vs. post- disease invasion,287 0.1 ha (50 X 20 m) plots,0,9/7,16:25,16:47,0:22:00,,
1285,Avila,Quercus suber dieback alters soil respiration and nutrient availability   in Mediterranean forests,fungus,,plant,,terrestrial,forest,,0,0,0,0,0,0,1,0,0,1,0,1,"Los Alcornocales Natural
Park, southern Spain",ecosystem because soil,2,process,process,ecosystem,"biogeochemical measurements in open and closed forest, in relation to tree health",70m x 70m plots at six sites,1,9/7,16:49,17:07,0:18:00,,
1303,Sato,Nematomorph parasites indirectly alter the food web and ecosystem   function of streams through behavioural manipulation of their cricket   hosts,animal,,animal,,aquatic,stream,,0,0,0,0,1,1,0,1,0,0,0,1,"two streams, Arida River system, Wakayama Research Forest Station, Kyoto University",ecosystem because all benthics,1,stock,stock,ecosystem,"cricket addition to streams, mimicking nematomorph manipulation of cricket behavior","12 experimental reaches, each 26g m long",0 (appendix?),9/10,13:42,14:05,0:23:00,,
1319,Narr,Exploited and excreting: parasite type affects host nutrient recycling,fungus,"fungi (?): microsporidian Hamiltosporidium
tvaerminnensis ",animal,,aquatic,ocean,,0,1,0,0,0,1,0,0,1,0,0,1,"lab experiment, source of Daphnia rock pools along Baltic Sea",species because one species of Daphnia,1,both,both,species,"experimental infection of Daphnia followed by observation of fecundity, excretion",artificial media in lab,0,9/10,14:10,14:35,0:25:00,,
1323,Yu,Native Cuscuta campestris restrains exotic Mikania micrantha and   enhances soil resources beneficial to natives in the invaded communities,plant,,plant,,terrestrial,forest,,1,1,0,1,1,0,1,0,0,1,0,0,"Neilingding Island, Guangdong Province, China","assemblage because ecosystem process effects are at Mikania level, and also include holoparasite Cuscuta","1 (experimental biocontrol introduction of parasite, includes  controls ""Mikania invaded"")",both,both,assemblage,"experimental introduction of holoparasite to control invasive; observe parasite, host, community, and soil","4 3m x 3m plots, several 100 m from each other",1,9/10,14:48,15:12,0:24:00,,
1328,Chodkowski,Parasite and host elemental content and parasite effects on host   nutrient excretion and metabolic rate,animal,,animal,,aquatic,river,,1,0,0,0,0,1,0,0,1,0,0,1,"White River and tributary, Muncie, IN, USA",assemblage because process effects include snail and PP,2,both,both,assemblage,"study of metabolism and elemental ratios of naturally parasitized and non-parasitized snails, and of trematodes in them",snails collected from three sites on river and one tributary,1,9/10,15:20,15:40,0:20:00,,
