"","pathway.number","pathway","measure.general","measure.specific....outcome.variable","community","host","count"
"364",2,"abund biomass to ecosystem fxn","primary production","live basal area",NA,NA,1
"365",2,"abund biomass to ecosystem fxn","primary production","live biomass",NA,NA,1
"366",2,"abund biomass to ecosystem fxn","primary production","mean aboveground biomass",NA,NA,1
"367",2,"abund biomass to ecosystem fxn","primary production","mean basal area increment",NA,NA,1
"368",2,"abund biomass to ecosystem fxn","primary production","mean DBH",NA,NA,2
"369",2,"abund biomass to ecosystem fxn","primary production","mean gross primary production",NA,NA,1
"370",2,"abund biomass to ecosystem fxn","primary production","mean height",NA,NA,2
"371",2,"abund biomass to ecosystem fxn","primary production","net ecosystem production",NA,NA,1
"372",2,"abund biomass to ecosystem fxn","primary production","net photosynthesis",NA,NA,1
"373",2,"abund biomass to ecosystem fxn","primary production","net photosynthesis (umol CO2 m-2 s-1)",NA,NA,1
"374",2,"abund biomass to ecosystem fxn","primary production","net photosynthetic rates",NA,NA,1
"375",2,"abund biomass to ecosystem fxn","primary production","net primary production",NA,NA,1
"376",2,"abund biomass to ecosystem fxn","primary production","net primary production (ash free dry mass/yr)",NA,NA,1
"377",2,"abund biomass to ecosystem fxn","primary production","organic mass (ash free dry mass)",NA,NA,1
"378",2,"abund biomass to ecosystem fxn","primary production","oxygen production",NA,NA,1
"379",2,"abund biomass to ecosystem fxn","primary production","percent cover",NA,NA,1
"380",2,"abund biomass to ecosystem fxn","primary production","percent cover by species",NA,NA,1
"381",2,"abund biomass to ecosystem fxn","primary production","percent cover for each host species",NA,NA,1
"382",2,"abund biomass to ecosystem fxn","primary production","periphyton biomass",NA,NA,1
"383",2,"abund biomass to ecosystem fxn","primary production","periphyton standing crop",NA,NA,1
"384",2,"abund biomass to ecosystem fxn","primary production","photosynthetic rate",NA,NA,1
"385",2,"abund biomass to ecosystem fxn","primary production","plant biomass",NA,NA,1
"386",2,"abund biomass to ecosystem fxn","primary production","plant height",NA,NA,1
"387",2,"abund biomass to ecosystem fxn","primary production","point counts (biomass estimate)",NA,NA,1
"388",2,"abund biomass to ecosystem fxn","primary production","potential host biomass",NA,NA,1
"389",2,"abund biomass to ecosystem fxn","primary production","primary production",NA,NA,1
"390",2,"abund biomass to ecosystem fxn","primary production","productivity (annual net primary production)",NA,NA,1
"391",2,"abund biomass to ecosystem fxn","primary production","prokaryotic growth efficiency",NA,NA,1
"392",2,"abund biomass to ecosystem fxn","primary production","prokaryotic respiration",NA,NA,1
"393",2,"abund biomass to ecosystem fxn","primary production","quantum yield",NA,NA,1
"394",2,"abund biomass to ecosystem fxn","primary production","ratio of production to respiration",NA,NA,1
"395",2,"abund biomass to ecosystem fxn","primary production","reduction in host biomass vs. parasite biomass",NA,NA,1
"396",2,"abund biomass to ecosystem fxn","primary production","relative tree growth rate (wood volume)",NA,NA,1
"397",2,"abund biomass to ecosystem fxn","primary production","resource decline (chlorophyll a over time)",NA,NA,1
"398",2,"abund biomass to ecosystem fxn","primary production","root biomass",NA,NA,3
"399",2,"abund biomass to ecosystem fxn","primary production","root biomass (g pot-1)",NA,NA,2
"400",2,"abund biomass to ecosystem fxn","primary production","root dry weight",NA,NA,1
"401",2,"abund biomass to ecosystem fxn","primary production","root length",NA,NA,1
"402",2,"abund biomass to ecosystem fxn","primary production","seed mass",NA,NA,1
"403",2,"abund biomass to ecosystem fxn","primary production","seed production",NA,NA,2
"404",2,"abund biomass to ecosystem fxn","primary production","seed wt. per plant",NA,NA,1
"405",2,"abund biomass to ecosystem fxn","primary production","shoot biomass",NA,NA,3
"406",2,"abund biomass to ecosystem fxn","primary production","shoot biomass (g pot-1)",NA,NA,1
"407",2,"abund biomass to ecosystem fxn","primary production","shoot dry biomass",NA,NA,1
"408",2,"abund biomass to ecosystem fxn","primary production","shoot dry weight",NA,NA,1
"409",2,"abund biomass to ecosystem fxn","primary production","shoot total biomass",NA,NA,1
"410",2,"abund biomass to ecosystem fxn","primary production","size (d.b.h.) distribution of live trees",NA,NA,1
"411",2,"abund biomass to ecosystem fxn","primary production","stand-level stem biomass lost to rot",NA,NA,1
"412",2,"abund biomass to ecosystem fxn","primary production","total biomass",NA,NA,4
"413",2,"abund biomass to ecosystem fxn","primary production","total biomass (host plus parasite)",NA,NA,1
"414",2,"abund biomass to ecosystem fxn","primary production","total leaf length",NA,NA,1
"415",2,"abund biomass to ecosystem fxn","primary production","total legume cover",NA,NA,1
"416",2,"abund biomass to ecosystem fxn","primary production","total organic matter of benthic biofilms, measured as ash-free dry mass (AFDM)",NA,NA,1
"417",2,"abund biomass to ecosystem fxn","primary production","total plant biomass",NA,NA,1
"418",2,"abund biomass to ecosystem fxn","primary production","total plant dry weight",NA,NA,1
"419",2,"abund biomass to ecosystem fxn","primary production","total seed set",NA,NA,1
"420",2,"abund biomass to ecosystem fxn","primary production","tree height",NA,NA,1
"421",2,"abund biomass to ecosystem fxn","secondary production","algae consumption by insects",NA,NA,1
"422",2,"abund biomass to ecosystem fxn","secondary production","algae consumption by tadpoles",NA,NA,1
"423",2,"abund biomass to ecosystem fxn","secondary production","average bee weight",NA,NA,1
"424",2,"abund biomass to ecosystem fxn","secondary production","biomass",NA,NA,2
"425",2,"abund biomass to ecosystem fxn","secondary production","biomass (mg DM m-2)",NA,NA,1
"426",2,"abund biomass to ecosystem fxn","secondary production","biomass tadpoles",NA,NA,1
"427",2,"abund biomass to ecosystem fxn","secondary production","colony height",NA,NA,2
"428",2,"abund biomass to ecosystem fxn","secondary production","community biomass in cores under pats",NA,NA,1
"429",2,"abund biomass to ecosystem fxn","secondary production","fish biomass (g/100 m2)",NA,NA,1
"430",2,"abund biomass to ecosystem fxn","secondary production","heterotrophy (% carbon taken from plan)",NA,NA,1
"431",2,"abund biomass to ecosystem fxn","secondary production","individual fish mass",NA,NA,1
"432",2,"abund biomass to ecosystem fxn","secondary production","insect biomass emerging from dung",NA,NA,1
"433",2,"abund biomass to ecosystem fxn","secondary production","invertebrates biomass",NA,NA,1
"434",2,"abund biomass to ecosystem fxn","secondary production","macroinvertebrate biomass",NA,NA,1
"435",2,"abund biomass to ecosystem fxn","secondary production","mass",NA,NA,1
"436",2,"abund biomass to ecosystem fxn","secondary production","mass of alga tissue consumed",NA,NA,1
"437",2,"abund biomass to ecosystem fxn","secondary production","mass of tadpoles at metamorphosis",NA,NA,1
"438",2,"abund biomass to ecosystem fxn","secondary production","microbial biomass",NA,NA,1
"439",2,"abund biomass to ecosystem fxn","secondary production","microbial biomass carbon",NA,NA,1
"440",2,"abund biomass to ecosystem fxn","secondary production","production",NA,NA,1
"441",2,"abund biomass to ecosystem fxn","secondary production","progeny biomass produced by an initial adult",NA,NA,1
"442",2,"abund biomass to ecosystem fxn","secondary production","Scarabaeidae biomass emerging from dung",NA,NA,1
"443",2,"abund biomass to ecosystem fxn","secondary production","seed predation",NA,NA,1
"444",2,"abund biomass to ecosystem fxn","secondary production","shell growth",NA,NA,1
"445",2,"abund biomass to ecosystem fxn","secondary production","shell length",NA,NA,1
"446",2,"abund biomass to ecosystem fxn","secondary production","soft-tissue wet weight",NA,NA,1
"447",2,"abund biomass to ecosystem fxn","secondary production","tadpole length",NA,NA,1
"448",2,"abund biomass to ecosystem fxn","secondary production","total biomass of Rana aurora",NA,NA,1
"449",2,"abund biomass to ecosystem fxn","secondary production","transfer of isotopically labeled biomass (13C) to Alteromonas and Roseobacter",NA,NA,1
"450",2,"abund biomass to ecosystem fxn","secondary production","transfer of isotopically labeled biomass (15N) to Alteromonas and Roseobacter",NA,NA,1
"451",3,"ecosystem fxn to PP","consumption of PP","Daphnia 10ml-1",NA,NA,1
"452",2,"morbidity to ecosystem fxn","biogeochemical cycles","% C",NA,NA,1
"453",2,"morbidity to ecosystem fxn","biogeochemical cycles","% lignin",NA,NA,2
"454",2,"morbidity to ecosystem fxn","biogeochemical cycles","% N",NA,NA,1
"455",2,"morbidity to ecosystem fxn","biogeochemical cycles","% nitrogen",NA,NA,1
"456",2,"morbidity to ecosystem fxn","biogeochemical cycles","% P",NA,NA,1
"457",2,"morbidity to ecosystem fxn","biogeochemical cycles","%C leaf litter",NA,NA,1
"458",2,"morbidity to ecosystem fxn","biogeochemical cycles","%N",NA,NA,2
"459",2,"morbidity to ecosystem fxn","biogeochemical cycles","%N foliar by species",NA,NA,1
"460",2,"morbidity to ecosystem fxn","biogeochemical cycles","%N leaf litter",NA,NA,1
"461",2,"morbidity to ecosystem fxn","biogeochemical cycles","%N litter by species",NA,NA,1
"462",2,"morbidity to ecosystem fxn","biogeochemical cycles","%P leaf litter",NA,NA,1
"463",2,"morbidity to ecosystem fxn","biogeochemical cycles","Al",NA,NA,2
"464",2,"morbidity to ecosystem fxn","biogeochemical cycles","algal clearance rate",NA,NA,1
"465",2,"morbidity to ecosystem fxn","biogeochemical cycles","atom %13C enrichment of host",NA,NA,1
"466",2,"morbidity to ecosystem fxn","biogeochemical cycles","atom %15N enrichment of host",NA,NA,1
"467",2,"morbidity to ecosystem fxn","biogeochemical cycles","B",NA,NA,2
"468",2,"morbidity to ecosystem fxn","biogeochemical cycles","break-down rate",NA,NA,1
"469",2,"morbidity to ecosystem fxn","biogeochemical cycles","C",NA,NA,8
"470",2,"morbidity to ecosystem fxn","biogeochemical cycles","C (%) in new leaves",NA,NA,1
"471",2,"morbidity to ecosystem fxn","biogeochemical cycles","C (host composition)",NA,NA,1
"472",2,"morbidity to ecosystem fxn","biogeochemical cycles","C:N",NA,NA,6
"473",2,"morbidity to ecosystem fxn","biogeochemical cycles","C:N excretion (TDOC:DIN)",NA,NA,1
"474",2,"morbidity to ecosystem fxn","biogeochemical cycles","C:N fecal",NA,NA,1
"475",2,"morbidity to ecosystem fxn","biogeochemical cycles","C:N leaf litter",NA,NA,1
"476",2,"morbidity to ecosystem fxn","biogeochemical cycles","C:N of feces",NA,NA,1
"477",2,"morbidity to ecosystem fxn","biogeochemical cycles","C:P",NA,NA,4
"478",2,"morbidity to ecosystem fxn","biogeochemical cycles","C:P fecal",NA,NA,1
"479",2,"morbidity to ecosystem fxn","biogeochemical cycles","C/N",NA,NA,2
"480",2,"morbidity to ecosystem fxn","biogeochemical cycles","C/P",NA,NA,1
"481",2,"morbidity to ecosystem fxn","biogeochemical cycles","Ca",NA,NA,3
"482",2,"morbidity to ecosystem fxn","biogeochemical cycles","carbon excretion (mg L-1 TDOC)",NA,NA,1
"483",2,"morbidity to ecosystem fxn","biogeochemical cycles","carbon in feces (% by mass)",NA,NA,1
"484",2,"morbidity to ecosystem fxn","biogeochemical cycles","Carbon-nitrogen ratio",NA,NA,1
"485",2,"morbidity to ecosystem fxn","biogeochemical cycles","change in fatty acid composition (%)",NA,NA,1
"486",2,"morbidity to ecosystem fxn","biogeochemical cycles","Cu",NA,NA,2
"487",2,"morbidity to ecosystem fxn","biogeochemical cycles","d13C",NA,NA,3
"488",2,"morbidity to ecosystem fxn","biogeochemical cycles","d13C (%)",NA,NA,1
"489",2,"morbidity to ecosystem fxn","biogeochemical cycles","d13C host",NA,NA,1
"490",2,"morbidity to ecosystem fxn","biogeochemical cycles","d15N",NA,NA,1
"491",2,"morbidity to ecosystem fxn","biogeochemical cycles","d15N host",NA,NA,1
"492",2,"morbidity to ecosystem fxn","biogeochemical cycles","dark respiration rate (Rd)",NA,NA,2
"493",2,"morbidity to ecosystem fxn","biogeochemical cycles","fatty acid concentration",NA,NA,1
"494",2,"morbidity to ecosystem fxn","biogeochemical cycles","Fe",NA,NA,2
"495",2,"morbidity to ecosystem fxn","biogeochemical cycles","host tissue %C",NA,NA,1
"496",2,"morbidity to ecosystem fxn","biogeochemical cycles","K",NA,NA,4
"497",2,"morbidity to ecosystem fxn","biogeochemical cycles","litter decomposition rate",NA,NA,1
"498",2,"morbidity to ecosystem fxn","biogeochemical cycles","Manganese",NA,NA,1
"499",2,"morbidity to ecosystem fxn","biogeochemical cycles","mass remaining",NA,NA,1
"500",2,"morbidity to ecosystem fxn","biogeochemical cycles","mass remaining over time [decomposition]",NA,NA,1
"501",2,"morbidity to ecosystem fxn","biogeochemical cycles","mean calcification rate",NA,NA,1
"502",2,"morbidity to ecosystem fxn","biogeochemical cycles","metabolic rate",NA,NA,1
"503",2,"morbidity to ecosystem fxn","biogeochemical cycles","Mg",NA,NA,3
"504",2,"morbidity to ecosystem fxn","biogeochemical cycles","monounsaturated fatty acid (%)",NA,NA,1
"505",2,"morbidity to ecosystem fxn","biogeochemical cycles","N",NA,NA,11
"506",2,"morbidity to ecosystem fxn","biogeochemical cycles","N (%) in new leaves",NA,NA,1
"507",2,"morbidity to ecosystem fxn","biogeochemical cycles","N excretion rate",NA,NA,2
"508",2,"morbidity to ecosystem fxn","biogeochemical cycles","N:P",NA,NA,5
"509",2,"morbidity to ecosystem fxn","biogeochemical cycles","N:P excreta",NA,NA,1
"510",2,"morbidity to ecosystem fxn","biogeochemical cycles","N:P fecal",NA,NA,1
"511",2,"morbidity to ecosystem fxn","biogeochemical cycles","N:P release",NA,NA,1
"512",2,"morbidity to ecosystem fxn","biogeochemical cycles","Na",NA,NA,3
"513",2,"morbidity to ecosystem fxn","biogeochemical cycles","NH4",NA,NA,1
"514",2,"morbidity to ecosystem fxn","biogeochemical cycles","nitrogen excretion (mg L-1 DIN)",NA,NA,1
"515",2,"morbidity to ecosystem fxn","biogeochemical cycles","nitrogen in feces (% by mass)",NA,NA,1
"516",2,"morbidity to ecosystem fxn","biogeochemical cycles","nitrogen use efficiency (greatest net photosynthetic value / foliar N content)",NA,NA,1
"517",2,"morbidity to ecosystem fxn","biogeochemical cycles","P",NA,NA,10
"518",2,"morbidity to ecosystem fxn","biogeochemical cycles","P excretion rate",NA,NA,1
"519",2,"morbidity to ecosystem fxn","biogeochemical cycles","per cent mass remaining",NA,NA,1
"520",2,"morbidity to ecosystem fxn","biogeochemical cycles","Percentage carbon",NA,NA,1
"521",2,"morbidity to ecosystem fxn","biogeochemical cycles","Percentage nitrogen",NA,NA,1
"522",2,"morbidity to ecosystem fxn","biogeochemical cycles","polyunsaturated fatty acid (%)",NA,NA,1
"523",2,"morbidity to ecosystem fxn","biogeochemical cycles","S",NA,NA,2
"524",2,"morbidity to ecosystem fxn","biogeochemical cycles","saturated fatty acid (%)",NA,NA,1
"525",2,"morbidity to ecosystem fxn","biogeochemical cycles","SRP",NA,NA,1
"526",2,"morbidity to ecosystem fxn","biogeochemical cycles","tissue C:N",NA,NA,1
"527",2,"morbidity to ecosystem fxn","biogeochemical cycles","tissue carbon (% by mass)",NA,NA,1
"528",2,"morbidity to ecosystem fxn","biogeochemical cycles","tissue nitrogen (% by mass)",NA,NA,1
"529",2,"morbidity to ecosystem fxn","biogeochemical cycles","transpiration rates",NA,NA,1
"530",2,"morbidity to ecosystem fxn","biogeochemical cycles","water use efficiency (photosynthesis/transpiration)",NA,NA,1
"531",2,"morbidity to ecosystem fxn","biogeochemical cycles","Zn",NA,NA,2
"532",2,"morbidity to ecosystem fxn","primary production","chlorophyll a per host cell",NA,NA,1
"533",2,"morbidity to ecosystem fxn","primary production","chloropyll a biomass",NA,NA,1
"534",2,"morbidity to ecosystem fxn","primary production","internal CO2 concentrations",NA,NA,1
"535",2,"morbidity to ecosystem fxn","secondary production","assimilation energy (kj m-2 y-1)",NA,NA,1
"536",2,"morbidity to ecosystem fxn","secondary production","biomass of benthics",NA,NA,1
"537",2,"morbidity to ecosystem fxn","secondary production","consumption (kj d-1)",NA,NA,1
"538",2,"morbidity to ecosystem fxn","secondary production","consumption rate",NA,NA,1
"539",2,"morbidity to ecosystem fxn","secondary production","energy allocation (kj m-2 y-1)",NA,NA,1
"540",2,"morbidity to ecosystem fxn","secondary production","energy content (kj g-1)",NA,NA,1
"541",2,"morbidity to ecosystem fxn","secondary production","energy unassimilated (feces)",NA,NA,1
"542",2,"morbidity to ecosystem fxn","secondary production","feeding rate",NA,NA,1
"543",2,"morbidity to ecosystem fxn","secondary production","ingestion rate",NA,NA,2
"544",2,"morbidity to ecosystem fxn","secondary production","leaf consumption",NA,NA,1
"545",2,"morbidity to ecosystem fxn","secondary production","mean daily energy intake (kJ/100 mg dry mass of fish)",NA,NA,1
"546",2,"morbidity to ecosystem fxn","secondary production","N",NA,NA,1
"547",2,"morbidity to ecosystem fxn","secondary production","P",NA,NA,1
"548",2,"morbidity to ecosystem fxn","secondary production","production efficiency (kj m-2 y-1)",NA,NA,1
"549",2,"morbidity to ecosystem fxn","secondary production","production energy (kj m-2 y-1)",NA,NA,1
"550",2,"morbidity to ecosystem fxn","secondary production","respiration (kj d-1)",NA,NA,1
"551",2,"morbidity to ecosystem fxn","secondary production","terrestrial invertebrates in trout diet",NA,NA,1
"552",2,"morbidity to ecosystem fxn","secondary production","total number of killed prey",NA,NA,1
"553",3,"PP abundance","abundance","",NA,NA,1
"554",3,"PP abundance","abundance","abundance of total chytrid sporangia",NA,NA,1
"555",3,"PP abundance","abundance","EhV abundance",NA,NA,1
"556",3,"PP abundance","abundance","Exocarpus intercepts",NA,NA,1
"557",3,"PP abundance","abundance","larve L-1",NA,NA,1
"558",3,"PP abundance","abundance","liana abundance",NA,NA,1
"559",3,"PP abundance","abundance","lytic viral production",NA,NA,1
"560",3,"PP abundance","abundance","mistletoe number",NA,NA,1
"561",3,"PP abundance","abundance","nematodes added per pot",NA,NA,1
"562",3,"PP abundance","abundance","number of bacteria",NA,NA,1
"563",3,"PP abundance","abundance","percent cover",NA,NA,1
"564",3,"PP abundance","abundance","relative abundance of nematomorphs (n/discharge)",NA,NA,1
"565",3,"PP abundance","abundance","seed density",NA,NA,1
"566",3,"PP abundance","abundance","T. ventralis (N 100g-1 soil)",NA,NA,1
"567",3,"PP abundance","abundance","total viral abundance",NA,NA,1
"568",3,"PP abundance","abundance","total virus abundance",NA,NA,1
"569",3,"PP abundance","abundance","viral abundance",NA,NA,2
"570",3,"PP abundance","abundance","viral abundance (10^7 ml-1)",NA,NA,1
"571",3,"PP abundance","abundance","viral production",NA,NA,1
"572",3,"PP abundance","abundance","virus abundance",NA,NA,1
"573",3,"PP abundance","abundance","virus particle counts",NA,NA,1
"574",3,"PP abundance","abundance","viruses (10^9 l-1)",NA,NA,1
"575",3,"PP abundance","demography","germination rate",NA,NA,1
"576",3,"PP abundance","demography","mean hypocotyl attachments",NA,NA,1
"577",3,"PP abundance","demography","spread per year",NA,NA,1
"578",3,"PP abundance","mortality","viral decay",NA,NA,1
"579",3,"PP abundance","PP demography","seed predation",NA,NA,1
"580",3,"PP abundance","production","viral production",NA,NA,1
"581",3,"PP morbidity","PP phenotype","maximum photosynthetic rate",NA,NA,1
"582",3,"PP morbidity","PP phenotype","stomata length",NA,NA,1
"583",3,"PP morbidity","PP phenotype","stomata width",NA,NA,1
"584",3,"PP morbidity","PP phenotype","stomatal conductance",NA,NA,1
"585",3,"PP morbidity","PP phenotype","stomatal density",NA,NA,1
"586",3,"PP morbidity","PP phenotype","water potential",NA,NA,1
"587",3,"PP morbidity","PP phenotype","water use efficiency",NA,NA,1
"588",3,"PP morbidity","vigor","leaf water potential",NA,NA,1
"589",1,"PP to abund biomass","biogeochemical cycles","ammonium uptake length",NA,NA,1
"590",1,"PP to abund biomass","community","abundance of N-limited Synechoccous cells exposed to lysate",1,0,1
"591",1,"PP to abund biomass","community","algae consumption by insects",1,0,1
"592",1,"PP to abund biomass","community","algae consumption by tadpoles",1,0,1
"593",1,"PP to abund biomass","community","arthropod abundance",1,0,1
"594",1,"PP to abund biomass","community","bacterial abundance",1,0,1
"595",1,"PP to abund biomass","community","bird guild incidence",1,0,1
"596",1,"PP to abund biomass","community","bird species richness",1,0,1
"597",1,"PP to abund biomass","community","chlorophyll a",1,0,1
"598",1,"PP to abund biomass","community","community abundance in cores under pats",1,0,1
"599",1,"PP to abund biomass","community","community biomass in cores under pats",1,0,1
"600",1,"PP to abund biomass","community","community composition",1,0,1
"601",1,"PP to abund biomass","community","community composition of insects attracted to dung",1,0,1
"602",1,"PP to abund biomass","community","community composition of insects emerging from dung",1,0,1
"603",1,"PP to abund biomass","community","community structure of insects attracted to dung",1,0,1
"604",1,"PP to abund biomass","community","community structure of insects emerging from dung",1,0,1
"605",1,"PP to abund biomass","community","cover of bare ground",1,0,1
"606",1,"PP to abund biomass","community","dead basal area (as percent of live+dead)",1,0,1
"607",1,"PP to abund biomass","community","diversity",1,0,1
"608",1,"PP to abund biomass","community","diversity of insects attracted to dung",1,0,1
"609",1,"PP to abund biomass","community","forbs",1,0,1
"610",1,"PP to abund biomass","community","graminoids",1,0,1
"611",1,"PP to abund biomass","community","herb layer cover",1,0,1
"612",1,"PP to abund biomass","community","insect abundance emerging from dung",1,0,1
"613",1,"PP to abund biomass","community","insect biomass emerging from dung",1,0,1
"614",1,"PP to abund biomass","community","insect grazer mean annual biomass (ash free dry mass)",1,0,1
"615",1,"PP to abund biomass","community","litter",1,0,1
"616",1,"PP to abund biomass","community","mass loss from burning",1,0,1
"617",1,"PP to abund biomass","community","mean plant canopy height",1,0,1
"618",1,"PP to abund biomass","community","microbial respiration",1,0,1
"619",1,"PP to abund biomass","community","mortality",1,0,2
"620",1,"PP to abund biomass","community","nutcracker occurrence (disperser)",1,0,1
"621",1,"PP to abund biomass","community","phytoplankton community",1,0,1
"622",1,"PP to abund biomass","community","picophytoplankton abundance",1,0,1
"623",1,"PP to abund biomass","community","proportion of cover of Brachypodio-molinietum spp.",1,0,1
"624",1,"PP to abund biomass","community","relative frequency of threatened spp.",1,0,1
"625",1,"PP to abund biomass","community","richness",1,0,1
"626",1,"PP to abund biomass","community","seed richness",1,0,1
"627",1,"PP to abund biomass","community","smoldering loss",1,0,1
"628",1,"PP to abund biomass","community","species-specific plant biomass",1,0,1
"629",1,"PP to abund biomass","community","standing dead",1,0,1
"630",1,"PP to abund biomass","community abundance/biomass","abundance",1,0,1
"631",1,"PP to abund biomass","community abundance/biomass","abundance of bacterial groups",1,0,1
"632",1,"PP to abund biomass","community abundance/biomass","abundance of macroinvertebrate taxa colonising leaf packs",1,0,1
"633",1,"PP to abund biomass","community abundance/biomass","actinomycetes",1,0,1
"634",1,"PP to abund biomass","community abundance/biomass","amylolytics",1,0,1
"635",1,"PP to abund biomass","community abundance/biomass","aphid number (herbivore of PP)",1,0,1
"636",1,"PP to abund biomass","community abundance/biomass","bacterial abundance",1,0,1
"637",1,"PP to abund biomass","community abundance/biomass","bacteriophage abundance",1,0,1
"638",1,"PP to abund biomass","community abundance/biomass","basal area",1,0,1
"639",1,"PP to abund biomass","community abundance/biomass","basal area non-oaks",1,0,1
"640",1,"PP to abund biomass","community abundance/biomass","cellulolytics",1,0,1
"641",1,"PP to abund biomass","community abundance/biomass","chlorophyll a",1,0,2
"642",1,"PP to abund biomass","community abundance/biomass","chlorophyll a concentration",1,0,1
"643",1,"PP to abund biomass","community abundance/biomass","Cladoceran abundance",1,0,1
"644",1,"PP to abund biomass","community abundance/biomass","coarse particulate organic matter",1,0,1
"645",1,"PP to abund biomass","community abundance/biomass","community respiration",1,0,1
"646",1,"PP to abund biomass","community abundance/biomass","consumption rate (mussels per day)",1,0,1
"647",1,"PP to abund biomass","community abundance/biomass","density",1,0,1
"648",1,"PP to abund biomass","community abundance/biomass","density of benthic animals",1,0,1
"649",1,"PP to abund biomass","community abundance/biomass","dry biomass of invertebrate taxa and functional groups",1,0,1
"650",1,"PP to abund biomass","community abundance/biomass","dry biomass of macroalgal species and functional groups",1,0,1
"651",1,"PP to abund biomass","community abundance/biomass","epilithon",1,0,1
"652",1,"PP to abund biomass","community abundance/biomass","ericaceous",1,0,1
"653",1,"PP to abund biomass","community abundance/biomass","fine particulate organic matter",1,0,1
"654",1,"PP to abund biomass","community abundance/biomass","fish biomass (g/100 m2)",1,0,1
"655",1,"PP to abund biomass","community abundance/biomass","forb",1,0,1
"656",1,"PP to abund biomass","community abundance/biomass","forb biomass",1,0,1
"657",1,"PP to abund biomass","community abundance/biomass","fungi",1,0,1
"658",1,"PP to abund biomass","community abundance/biomass","gram-negative bacteria",1,0,1
"659",1,"PP to abund biomass","community abundance/biomass","gram-positive bacteria",1,0,1
"660",1,"PP to abund biomass","community abundance/biomass","graminoid (includes hosts) biomass",1,0,1
"661",1,"PP to abund biomass","community abundance/biomass","gross primary production",1,0,1
"662",1,"PP to abund biomass","community abundance/biomass","individual fish mass",1,0,1
"663",1,"PP to abund biomass","community abundance/biomass","macroinvertebrate biomass",1,0,1
"664",1,"PP to abund biomass","community abundance/biomass","mean bud length of zoochorous plants",1,0,1
"665",1,"PP to abund biomass","community abundance/biomass","mean density",1,0,1
"666",1,"PP to abund biomass","community abundance/biomass","microbial biomass",1,0,1
"667",1,"PP to abund biomass","community abundance/biomass","net primary production",1,0,1
"668",1,"PP to abund biomass","community abundance/biomass","number of herbivore individuals per g algae",1,0,1
"669",1,"PP to abund biomass","community abundance/biomass","organic mass (ash free dry mass)",1,0,1
"670",1,"PP to abund biomass","community abundance/biomass","oxygen production",1,0,1
"671",1,"PP to abund biomass","community abundance/biomass","periphyton AFDM",1,0,1
"672",1,"PP to abund biomass","community abundance/biomass","periphyton biomass",1,0,1
"673",1,"PP to abund biomass","community abundance/biomass","periphyton standing crop",1,0,1
"674",1,"PP to abund biomass","community abundance/biomass","phytoplankton concentration",1,0,1
"675",1,"PP to abund biomass","community abundance/biomass","ratio of production to respiration",1,0,1
"676",1,"PP to abund biomass","community abundance/biomass","root biomass",1,0,1
"677",1,"PP to abund biomass","community abundance/biomass","seed mass",1,0,1
"678",1,"PP to abund biomass","community abundance/biomass","seed set",1,0,1
"679",1,"PP to abund biomass","community abundance/biomass","shoot biomass",1,0,1
"680",1,"PP to abund biomass","community abundance/biomass","suspended particular organic matter",1,0,1
"681",1,"PP to abund biomass","community abundance/biomass","total macroinvertebrate community habitat-weighted abundance",1,0,1
"682",1,"PP to abund biomass","community abundance/biomass","total plant dry weight",1,0,1
"683",1,"PP to abund biomass","community abundance/biomass","total seed set",1,0,1
"684",1,"PP to abund biomass","community composition","% litter by species",1,0,1
"685",1,"PP to abund biomass","community composition","abundance of invertebrate taxa",1,0,1
"686",1,"PP to abund biomass","community composition","bacteria CFU",1,0,1
"687",1,"PP to abund biomass","community composition","Bray-Curtis similarities",1,0,1
"688",1,"PP to abund biomass","community composition","community shannon-weaver index",1,0,1
"689",1,"PP to abund biomass","community composition","community species richness",1,0,1
"690",1,"PP to abund biomass","community composition","diatom genera biovolume",1,0,1
"691",1,"PP to abund biomass","community composition","diversity",1,0,1
"692",1,"PP to abund biomass","community composition","equitability",1,0,1
"693",1,"PP to abund biomass","community composition","evenness",1,0,1
"694",1,"PP to abund biomass","community composition","fungi CFU",1,0,1
"695",1,"PP to abund biomass","community composition","macroinvertebrate estimated taxa richness",1,0,1
"696",1,"PP to abund biomass","community composition","mean species richness",1,0,1
"697",1,"PP to abund biomass","community composition","mean stand trajectory",1,0,1
"698",1,"PP to abund biomass","community composition","number of faunal species",1,0,1
"699",1,"PP to abund biomass","community composition","Pearson index of similarity",1,0,1
"700",1,"PP to abund biomass","community composition","percent cover of native plants",1,0,1
"701",1,"PP to abund biomass","community composition","proportion of pennate epipelic diatoms",1,0,1
"702",1,"PP to abund biomass","community composition","relative abundance by biovolume of periphytic taxa",1,0,1
"703",1,"PP to abund biomass","community composition","relative frequency (%) of species of epipelic diatoms",1,0,1
"704",1,"PP to abund biomass","community composition","relative frequency (%) of species of epipsammic diatoms",1,0,1
"705",1,"PP to abund biomass","community composition","sapling richness",1,0,1
"706",1,"PP to abund biomass","community composition","seed richness",1,0,1
"707",1,"PP to abund biomass","community composition","Simpson's diversity index",1,0,2
"708",1,"PP to abund biomass","community composition","Simpson's evenness index",1,0,1
"709",1,"PP to abund biomass","community composition","species richness",1,0,3
